arm,dataset,n,weighting,rule,bandwidth,h_over_sd,loo,model_sd_over_data_sd,mass_below,w1
empirical,AccessFlooring,53,Uniform,scott,0.3820524883150532,0.4791270509923669,-1.1636962980469179,1.0338559045208497,0.09691025342343047,0.13197953881570895
empirical,AccessFlooring,53,Uniform,silverman,0.3177372584442212,0.39847015864280916,-1.240957778711049,1.0204440882758365,0.0812865197695022,0.12737405150605507
empirical,AccessFlooring,53,Uniform,silverman_floored,0.31773725844422124,0.3984701586428092,-1.240957778711049,1.0204440882758385,0.08128651976950223,0.12737405150605513
empirical,AccessFlooring,53,Uniform,cv,0.1897069852825429,0.23790906011878432,-0.9458123287021717,1.0034399734303001,0.04711892349018065,0.125413793150804
empirical,AccessFlooring,53,Variable,scott,0.4145030458083245,0.5510953681070729,-1.084165447712946,1.0238007700779586,0.10485962165584999,0.16219088738370754
empirical,AccessFlooring,53,Variable,silverman,0.3519365483278227,0.46791116160034496,-1.0972978548099614,1.0097679170734883,0.09151115907628384,0.14003905487214607
empirical,AccessFlooring,53,Variable,silverman_floored,0.3519365483278227,0.46791116160034496,-1.0972978548099614,1.0097679170734883,0.09151115907628384,0.14003905487214607
empirical,AccessFlooring,53,Variable,cv,0.5752620309784272,0.7648297013158206,-1.0733496547399488,1.0771036788668644,0.1354629623075584,0.225789367891835
empirical,AccessFlooringPedestals,13,Uniform,scott,0.40746385270800617,0.6346250268739879,-1.0974470543498973,1.0799145142896263,0.07897781573806029,0.17393584520448285
empirical,AccessFlooringPedestals,13,Uniform,silverman,0.34595987494075997,0.5388325699873482,-1.1690855044784156,1.0560416006187676,0.06453198053935479,0.1573648151022619
empirical,AccessFlooringPedestals,13,Uniform,silverman_floored,0.3459598749407599,0.5388325699873482,-1.169085504478416,1.0560416006187674,0.06453198053935476,0.15736481510226186
empirical,AccessFlooringPedestals,13,Uniform,cv,0.7311752712696546,1.1388056218857385,-1.0053272950017227,1.2565862142899789,0.15086005257278803,0.29735148097229774
empirical,AccessFlooringPedestals,13,Variable,scott,0.48801369973549397,0.6761661735774762,-1.244254977037588,1.0552977773770753,0.12776540522499194,0.20412313233679757
empirical,AccessFlooringPedestals,13,Variable,silverman,0.392694343984161,0.5440966761818453,-1.3738437975300408,1.0225856525450556,0.10910873304617053,0.17032040991665903
empirical,AccessFlooringPedestals,13,Variable,silverman_floored,0.3926943439841607,0.5440966761818449,-1.3738437975300413,1.0225856525450545,0.10910873304617044,0.17032040991665917
empirical,AccessFlooringPedestals,13,Variable,cv,0.8757182923490195,1.2133493121000014,-1.1137888394252764,1.24752858348403,0.1995114440880892,0.3897947361076009
empirical,AcousticalCeilings,412,Uniform,scott,0.5274936432447042,0.3179262753044562,-1.0167845813507015,1.080936884979199,0.19418047005271052,0.4057833744270268
empirical,AcousticalCeilings,412,Uniform,silverman,0.1465515909789228,0.08832827097834198,-0.9248685954688934,1.0180848525847748,0.04535507380824087,0.14192770024868484
empirical,AcousticalCeilings,412,Uniform,silverman_floored,0.14929065374850123,0.08997913452012915,-0.9195214252680298,1.0183336530806306,0.046549949462008036,0.14329360500936156
empirical,AcousticalCeilings,412,Uniform,cv,0.08241430761843967,0.049672018210030346,-0.7336158437968274,1.0088077497080055,0.0216415285702727,0.11656915811641647
empirical,AcousticalCeilings,412,Variable,scott,0.5981058012461656,0.36626532743159523,-0.9460896740968561,1.1003165331756706,0.21507731658071022,0.3732647546446137
empirical,AcousticalCeilings,412,Variable,silverman,0.14006772729384173,0.08577404180496104,-0.939412343467956,1.0181768311748656,0.042001035308643866,0.05491573579732627
empirical,AcousticalCeilings,412,Variable,silverman_floored,0.16927522676778273,0.10365999832969677,-0.8673395075022597,1.0235590188277484,0.05467401388278563,0.07064274164099982
empirical,AcousticalCeilings,412,Variable,cv,0.08218000948232967,0.05032502279473593,-0.6497254742184044,1.0090798422243628,0.02174010557581395,0.031735963449338475
empirical,Aggregates,384,Uniform,scott,2.0713894163265794,0.3224331012033991,-1.378526618934643,1.2964487729699208,0.4200702161972254,2.0571731732988674
empirical,Aggregates,384,Uniform,silverman,0.13666002299226732,0.021272540390820167,0.08365823834017865,1.1924392563213266,0.30249397062318434,1.0771380655783505
empirical,Aggregates,384,Uniform,silverman_floored,0.5862422876395978,0.09125465128398086,-0.7017003519230512,1.2339440225740872,0.3542068875687469,1.0359784221450146
empirical,Aggregates,384,Uniform,cv,0.04142778832653159,0.006448662024067981,0.5122142374200274,1.146216218801778,0.24462959617765842,1.9958463172142447
empirical,Aggregates,384,Variable,scott,2.3317678247830873,0.3656440973144236,-1.3762351490480056,1.3091793949308264,0.42274861764524996,2.0352868334629166
empirical,Aggregates,384,Variable,silverman,0.19895496298030332,0.03119809231089499,-0.15173350098840002,1.2040287073864118,0.31698034272663256,0.7845769325306516
empirical,Aggregates,384,Variable,silverman_floored,0.659934290032949,0.1034841784852142,-0.7519221107366764,1.2381997487472975,0.353800212039622,0.8816988119660645
empirical,Aggregates,384,Variable,cv,0.053028887094100585,0.008315450340736486,0.3251442010478538,1.1653696350179428,0.26544773119824916,1.7118978522360666
empirical,AluminiumBillets,120,Uniform,scott,0.35219933940264647,0.40688306661562007,-1.1598073698656062,1.0321624110806462,0.08834672899853169,0.1418956335184771
empirical,AluminiumBillets,120,Uniform,silverman,0.2613614938764143,0.3019414127920876,-0.9423035605937128,1.0165413713989662,0.06492802610698278,0.1153528592591855
empirical,AluminiumBillets,120,Uniform,silverman_floored,0.2613614938764142,0.3019414127920875,-0.9423035605937127,1.0165413713942137,0.06492802610698277,0.11535285925918551
empirical,AluminiumBillets,120,Uniform,cv,0.22612222517760444,0.26123076938832024,-0.9407693402868804,1.0117556744545149,0.055654151859323764,0.105910682918867
empirical,AluminiumBillets,120,Variable,scott,0.4345456917879511,0.462253318300854,-1.1669456199755963,1.0442219319529125,0.10780901666535342,0.16947368853765393
empirical,AluminiumBillets,120,Variable,silverman,0.30226850135518096,0.32154183187125274,-1.2773947047871068,1.0211530284941104,0.07460437383206853,0.11114034145357779
empirical,AluminiumBillets,120,Variable,silverman_floored,0.30226850135518096,0.32154183187125274,-1.2773947047871068,1.0211530284941104,0.07460437383206853,0.11114034145357779
empirical,AluminiumBillets,120,Variable,cv,0.2453538913004957,0.2609982161945482,-1.0442981560961602,1.0138291137491549,0.05948010916559115,0.08738314216438295
empirical,AluminiumExtrusions,36,Uniform,scott,0.42330331911512903,0.517660902446422,-0.8239577910276045,1.0834083253305926,0.07113628976748004,0.14747925587374744
empirical,AluminiumExtrusions,36,Uniform,silverman,0.18460293075219283,0.22575235159317014,-0.7694518755134628,1.0187440589975898,0.01672586450378398,0.09213262856284368
