dataset,characteristic,before,after,change
Aggregates,n,385.0,384.0,-1.0
Aggregates,coeffvar_uw,13.600956754446665,6.424245552319687,-7.176711202126978
Aggregates,skewness_uw,19.026036176258025,14.922681553848603,-4.103354622409421
Aggregates,kurtosis_uw,368.31693775132794,246.7219645331271,-121.59497321820083
Aggregates,entropy_uw,0.23312573115082397,1.1402171587635999,0.907091427612776
Aggregates,fit_norm_SW_uw,0.04217035484506115,0.11340301242052908,0.07123265757546793
Aggregates,fit_lognorm_SW_uw,0.9226675547271814,0.9221747183264277,-0.0004928364007537045
Aggregates,crit_bw_1_uw,4.366959600325371,3.7717960864094997,-0.5951635139158715
AluminiumExtrusions,n,37.0,36.0,-1.0
AluminiumExtrusions,coeffvar_uw,0.8424412596827917,0.8177231796232496,-0.024718080059542125
AluminiumExtrusions,skewness_uw,2.4761288678314393,2.521743750247535,0.04561488241609579
AluminiumExtrusions,kurtosis_uw,7.093139300939295,7.180976195643482,0.08783689470418743
AluminiumExtrusions,entropy_uw,3.2828949078742866,3.260918854213801,-0.021976053660485828
AluminiumExtrusions,fit_norm_SW_uw,0.7307795213591978,0.7183996529751426,-0.012379868384055137
AluminiumExtrusions,fit_lognorm_SW_uw,0.9227744837479634,0.9519748627859773,0.02920037903801387
AluminiumExtrusions,crit_bw_1_uw,0.9415570094719036,0.9452903412491029,0.003733331777199367
Cement,n,1088.0,1084.0,-4.0
Cement,coeffvar_uw,0.42812101124329716,0.42437944199255867,-0.0037415692507384857
Cement,skewness_uw,1.87695238603348,1.9237889426138166,0.046836556580336586
Cement,kurtosis_uw,10.614969427908374,10.857419032520365,0.24244960461199128
Cement,entropy_uw,4.4206584174391494,4.425519548579544,0.004861131140394548
Cement,fit_norm_SW_uw,0.891265753733663,0.8884211610099567,-0.0028445927237062962
Cement,fit_lognorm_SW_uw,0.9351709493486164,0.9456228633803195,0.010451914031703091
Cement,crit_bw_1_uw,1.034705921768088,1.0405447655720406,0.005838843803952498
Chairs,n,88.0,86.0,-2.0
Chairs,coeffvar_uw,3.9037148893802742,2.926739630790556,-0.976975258589718
Chairs,skewness_uw,6.1426643409667925,7.657854804947737,1.5151904639809448
Chairs,kurtosis_uw,40.2477602928396,65.60832679435495,25.36056650151535
Chairs,entropy_uw,1.7450963363926841,1.8404309053010752,0.09533456890839109
Chairs,fit_norm_SW_uw,0.24682316879956823,0.3001284095028359,0.0533052407032677
Chairs,fit_lognorm_SW_uw,0.8555344264368472,0.840783124284445,-0.014751302152402168
Chairs,crit_bw_1_uw,1.3523686566596076,2.132571176835218,0.7802025201756104
Elevators,n,22.0,20.0,-2.0
Elevators,coeffvar_uw,3.1588945206506143,1.838185965570362,-1.3207085550802522
Elevators,skewness_uw,3.062997573071773,2.7278363340672915,-0.33516123900448136
Elevators,kurtosis_uw,8.125955933890543,8.63762014659661,0.5116642127060675
Elevators,entropy_uw,0.3676494774001865,1.842189370452505,1.4745398930523184
Elevators,fit_norm_SW_uw,0.33571370782456866,0.5969111209131408,0.26119741308857214
Elevators,fit_lognorm_SW_uw,0.9256606509173072,0.9426447578313228,0.01698410691401564
Elevators,crit_bw_1_uw,1.035375825628718,0.941653996274857,-0.09372182935386097
SteelSuspensionAssembly,n,99.0,98.0,-1.0
SteelSuspensionAssembly,coeffvar_uw,0.17751690458518551,0.15470960612976178,-0.02280729845542373
SteelSuspensionAssembly,skewness_uw,2.6044271838062603,2.176972493956989,-0.42745468984927104
SteelSuspensionAssembly,kurtosis_uw,10.275644329855286,9.000325552285496,-1.2753187775697903
SteelSuspensionAssembly,entropy_uw,3.799116738187332,3.849106163925768,0.04998942573843612
SteelSuspensionAssembly,fit_norm_SW_uw,0.7802496254202818,0.8455053260876462,0.06525570066736441
SteelSuspensionAssembly,fit_lognorm_SW_uw,0.8890456976663696,0.9283842137379847,0.03933851607161509
SteelSuspensionAssembly,crit_bw_1_uw,1.0564167191076925,1.0462284583140236,-0.010188260793668968
