arm,dataset,n,weighting,family,mass_below_zero,w1_untruncated,w1_truncated,w1_stage1
empirical,AccessFlooring,53,Uniform,normal,0.10490519625692618,0.14220180576797675,0.15646908216752614,0.15504920203635358
empirical,AccessFlooring,53,Uniform,kde,0.09691025342343053,0.15960286738080046,0.13063576015778824,
empirical,AccessFlooring,53,Variable,normal,0.08143931886958855,0.14652326005619895,0.17273972195111245,0.1715696504315215
empirical,AccessFlooring,53,Variable,kde,0.10485962165584999,0.12110469016395231,0.15990149811638052,
empirical,AccessFlooringPedestals,13,Uniform,normal,0.05967588808362515,0.17478069255911996,0.2036557933722969,0.20285573604960144
empirical,AccessFlooringPedestals,13,Uniform,kde,0.07897781573806027,0.1352618160724992,0.172801098269841,
empirical,AccessFlooringPedestals,13,Variable,normal,0.08992330745072136,0.15621066956510862,0.19561365863062258,0.19464442355668618
empirical,AccessFlooringPedestals,13,Variable,kde,0.12776540522499194,0.16343449987513534,0.20251554583097955,
empirical,AcousticalCeilings,412,Uniform,normal,0.2733504471568088,0.9258766306529249,1.0061037595591025,0.9983111364487345
empirical,AcousticalCeilings,412,Uniform,kde,0.19418047005271058,0.31134742092313233,0.394491083675532,
empirical,AcousticalCeilings,412,Variable,normal,0.28425193198619514,0.8938381421527172,0.9558024685211346,0.9477971944543145
empirical,AcousticalCeilings,412,Variable,kde,0.21507731658071022,0.2798107442711239,0.36211444829330297,
empirical,Aggregates,384,Uniform,normal,0.43815039520772575,4.88375638548118,5.189917700816943,5.13693186201818
empirical,Aggregates,384,Uniform,kde,0.4200702161972254,1.5091825252883961,1.9783718891600295,
empirical,Aggregates,384,Variable,normal,0.4440545785174358,4.8361806492777015,5.113209251273169,5.060056655888511
empirical,Aggregates,384,Variable,kde,0.42274861764524996,1.5208925577900794,1.964714485686492,
empirical,AluminiumBillets,120,Uniform,normal,0.12399125445895948,0.2703336611251218,0.3111263925588685,0.3091059976049743
empirical,AluminiumBillets,120,Uniform,kde,0.08834672899853163,0.11376076468761927,0.13985356477376676,
empirical,AluminiumBillets,120,Variable,normal,0.13329704191643565,0.30328623957786643,0.3485318081631231,0.3463656596795339
empirical,AluminiumBillets,120,Variable,kde,0.10780901666535342,0.12585106024543963,0.16686903898998698,
empirical,AluminiumExtrusions,36,Uniform,normal,0.11068227369700606,0.365327101588728,0.34259688952845535,0.34182624254385247
empirical,AluminiumExtrusions,36,Uniform,kde,0.07113628976748004,0.17116132599806697,0.14728781601406687,
empirical,AluminiumExtrusions,36,Variable,normal,0.12011656710265839,0.38599821861794426,0.36141919525979205,0.36055698186304097
empirical,AluminiumExtrusions,36,Variable,kde,0.09515860179065856,0.2003275059386193,0.18056086892034123,
empirical,AluminiumSheetGoods,26,Uniform,normal,0.11477697066581771,0.28437894244556794,0.29138493514704045,0.2904425633798753
empirical,AluminiumSheetGoods,26,Uniform,kde,0.12139725091015367,0.24483329585644692,0.2719356494596021,
empirical,AluminiumSheetGoods,26,Variable,normal,0.11185582975694447,0.25448935028374736,0.24431486385164183,0.2435729506449799
empirical,AluminiumSheetGoods,26,Variable,kde,0.12881771221301272,0.2021879115873419,0.2074824111284596,
empirical,AluminiumSiding,3,Uniform,normal,0.029129154763230823,0.3208794165806572,0.30407361619390466,0.3041824570089012
empirical,AluminiumSiding,3,Uniform,kde,0.07708051551129501,0.3477015866519989,0.2878445720023775,
empirical,AluminiumSiding,3,Variable,normal,0.01773117945477031,0.27182708150820106,0.2665226136997977,0.26652761647165585
empirical,AluminiumSiding,3,Variable,kde,0.07354298513255689,0.30276161093187437,0.272100586451629,
empirical,AluminiumSuspensionAssembly,22,Uniform,normal,0.20269366780159198,0.44718671907252067,0.509079455605003,0.5058720195059705
empirical,AluminiumSuspensionAssembly,22,Uniform,kde,0.22800465169698272,0.3431898003728847,0.33617191223913623,
empirical,AluminiumSuspensionAssembly,22,Variable,normal,0.18743395594978118,0.498473323157926,0.6132336235543481,0.6098985080237529
empirical,AluminiumSuspensionAssembly,22,Variable,kde,0.22591809955454217,0.3852269047094345,0.5524160540958727,
empirical,Asphalt,7232,Uniform,normal,8.046038200025779e-05,0.05494285968437941,0.05488487310723267,0.05490462359394871
empirical,Asphalt,7232,Uniform,kde,2.3170513216041437e-16,0.008518626109862872,0.008518626109844628,
empirical,Asphalt,7232,Variable,normal,6.035197069449868e-05,0.05046240715032668,0.050417855937560374,0.050438844882855244
empirical,Asphalt,7232,Variable,kde,7.981024879587023e-14,0.005988747345932651,0.005988747345884484,
empirical,BackingAndUnderlay,45,Uniform,normal,0.24177026808412988,0.6596187769878831,0.7491277143573348,0.7449766684307558
empirical,BackingAndUnderlay,45,Uniform,kde,0.23779906860840844,0.30424008217756304,0.4105708073182068,
empirical,BackingAndUnderlay,45,Variable,normal,0.23327418948719403,0.6787319901843049,0.7801958507864619,0.776035933834806
empirical,BackingAndUnderlay,45,Variable,kde,0.24847804604079224,0.36434786855109463,0.5357496048076799,
empirical,BituminousRoofing,66,Uniform,normal,0.12858192092478593,0.3098926483179546,0.303736439109541,0.30252637758214834
empirical,BituminousRoofing,66,Uniform,kde,0.08205139710144267,0.14222132295096793,0.1252593261201707,
empirical,BituminousRoofing,66,Variable,normal,0.13152121104779269,0.3421029166104347,0.34122227576876796,0.3398686885321673
empirical,BituminousRoofing,66,Variable,kde,0.10104042424306113,0.17173724409840968,0.175653003863467,
empirical,BlanketFacing,28,Uniform,normal,0.06496799924234843,0.2819109139684686,0.2926338958966693,0.29206712552710923
empirical,BlanketFacing,28,Uniform,kde,0.04994122079260519,0.24762175307789752,0.2589963887893046,
empirical,BlanketFacing,28,Variable,normal,0.04150026210964793,0.10698088900607765,0.1044017770641081,0.10418601493817764
empirical,BlanketFacing,28,Variable,kde,0.047009185029452324,0.09722680032907396,0.08676002059771583,
empirical,BlanketInsulation [mineral wool],184,Uniform,normal,0.17488806731627005,0.5802270742133387,0.5607191014663979,0.5591812673748395
empirical,BlanketInsulation [mineral wool],184,Uniform,kde,0.07142130227969307,0.24579066038191524,0.24375232471704628,
empirical,BlanketInsulation [mineral wool],184,Variable,normal,0.15228605617619434,0.42987271340675043,0.3993923678218603,0.3983761988174742
empirical,BlanketInsulation [mineral wool],184,Variable,kde,0.0680523955013452,0.1457295025844076,0.13385623298952476,
empirical,BlanketInsulation [other],3,Uniform,normal,0.09266915792005154,0.45549358207309354,0.44269269730957006,0.44228620779044303
empirical,BlanketInsulation [other],3,Uniform,kde,0.16848568006855638,0.6489305236654357,0.5965303326466432,
empirical,BlanketInsulation [other],3,Variable,normal,0.011233085624336234,0.21264575548801024,0.21191874648401793,0.21192086520625397
empirical,BlanketInsulation [other],3,Variable,kde,0.07339663084193561,0.23990143441083428,0.22315302964805284,
empirical,BlanketInsulation [type not stated],129,Uniform,normal,0.19472086973962366,0.6245000270559716,0.6451075268883837,0.6423115683707827
empirical,BlanketInsulation [type not stated],129,Uniform,kde,0.12425665104286905,0.2668523585397312,0.28897517786783683,
empirical,BlanketInsulation [type not stated],129,Variable,normal,0.2150564509946104,0.6236640698557905,0.6299044518799396,0.6269419505926814
empirical,BlanketInsulation [type not stated],129,Variable,kde,0.157047726575771,0.24675590346305273,0.260955715183271,
