dataset,n,target_noise,var_vs_uniform,band
Mirrors,19,0.06255712391846843,0.021354094901120634,n 10-99
MiscMetalFabrication,69,0.3075214541082129,0.25380168234357925,n 10-99
Mortar,248,0.0581980867788131,0.11355700624116442,n 100-999
NetworkingCableTrays,22,0.13648281962099407,0.051385718557364596,n 10-99
NetworkingRaceways,32,0.2619100636791225,0.2994407673141017,n 10-99
NonStructuralWood,57,0.09546969878781796,0.07879365097287346,n 10-99
OilPatch,282,0.1206525073947497,0.08942439256174778,n 100-999
OpenWebMembranes,17,0.0986146139980217,0.05732502463660234,n 10-99
Openings,12,0.22471386516117536,0.1948379364535715,n 10-99
OtherFlooring,217,0.2519710273888945,0.16282776415509087,n 100-999
PaintingAndCoating,19,0.9060031158668407,0.5844415699158422,n 10-99
PlateSteel,72,0.133414753349125,0.0965404887198885,n 10-99
PostTensioningSteel,35,0.062182050707890804,0.04141954051744338,n 10-99
PowerCabling,400,0.5054774003205588,0.4320306695360769,n 100-999
PrecastConcrete,499,0.017329248560840817,0.019903003827178363,n 100-999
ProcessedNonInsulatingGlassPanes,130,0.19867275692750622,0.17286797055123296,n 100-999
ReadyMix [3000-3999 psi],20814,0.003210614834636945,0.0025243464299125836,n >=1000
ReadyMix [4000-4999 psi],31025,0.0020637606559553673,0.0015488094416324573,n >=1000
ReadyMix [5000-5999 psi],14366,0.0027268349321341876,0.0017721523320014534,n >=1000
ReadyMix [<3000 psi],3974,0.010208667497489665,0.0036016281071193598,n >=1000
ReadyMix [>=6000 psi],7887,0.005092788382203028,0.004328064245405669,n >=1000
ReadyMix [strength not stated],8777,0.00995526543493434,0.005274822612849965,n >=1000
RebarSteel,204,0.10442301513000794,0.09537286644936618,n 100-999
ResilientFlooring,468,0.07842964619864184,0.04854401713177492,n 100-999
RoofCoverBoards,20,0.04417131600493973,0.044497017343132376,n 10-99
RoofPanels,61,0.22776919236855642,0.15976883141159465,n 10-99
SheathingPanels,71,0.261872129511922,0.24786470202078262,n 10-99
Shotcrete [3000-3999 psi],183,0.0319871313926971,0.020826630036763535,n 100-999
Shotcrete [4000-4999 psi],651,0.011971332733417755,0.0060513854226996195,n 100-999
Shotcrete [5000-5999 psi],471,0.015492640182939749,0.013687611499654322,n 100-999
Shotcrete [<3000 psi],4,0.20556422811682473,0.057586814534726034,n 3-9
Shotcrete [>=6000 psi],264,0.011709377336515656,0.01822721835360603,n 100-999
Shotcrete [strength not stated],96,0.01448476488076747,0.04573159825281936,n 10-99
SinglePlyEPDM,29,0.11124069703762052,0.12899629402477014,n 10-99
SinglePlyKEE,11,0.20775307274460889,0.07186812282703585,n 10-99
SinglePlyPVC,74,0.12999787355047748,0.0680956821933233,n 10-99
SinglePlyPolyurethane,27,0.5540745615463851,0.2126563062045137,n 10-99
SinglePlyTPO,62,0.0628035001968682,0.030962743061942476,n 10-99
SprayedInsulation,11,0.7587097026358722,0.48637500595671335,n 10-99
SteelSuspensionAssembly,98,0.024022364194254155,0.012381393051935221,n 10-99
StoneCladding,19,0.5277616569303172,0.06571457525586318,n 10-99
StorageFurniture,15,0.17642875121040769,0.1935232836570574,n 10-99
SupplementaryCementitiousMaterials,28,0.23403702340692664,0.13579143063101926,n 10-99
Tables,161,0.2525115564065827,0.177413773508304,n 100-999
TileGrout,43,0.14574260049981808,0.2425255383626605,n 10-99
Timber,17,0.2780656240396586,0.2053102715171043,n 10-99
TranslucentWallAndRoofAssemblies,46,0.18696206347812988,0.2322315400481447,n 10-99
UnitSkylights,17,0.2558040550831904,0.25923153640806984,n 10-99
VinylSiding,11,0.8690546787433172,0.5577668888232981,n 10-99
WallBase,14,0.09562664969602636,0.1612374976014339,n 10-99
WallFinishes,173,0.20840137191146765,0.4137510794112376,n 100-999
WallPanels,163,0.10525785156747236,0.06494715689855321,n 100-999
WeatherBarriers,59,0.3102444721130437,0.31273408423519483,n 10-99
WindTurbines,3,0.6605179731360734,0.3667304316175616,n 3-9
Windows,358,0.06449052893606931,0.08010469834886003,n 100-999
WireMeshSteel,53,0.28543792885426944,0.1557020513232905,n 10-99
WoodDoors,32,0.14467560751497516,0.10250566258453396,n 10-99
WoodFlooring,86,0.11877593853169348,0.08122062401068401,n 10-99
WoodFraming,7,0.10702001215525063,0.22211031017001115,n 3-9
WoodJoists,5,0.30329822152307645,0.2711551186565717,n 3-9
WorkSurfaces,12,0.1801968708422796,0.18355203431921868,n 10-99
