ceiling,realization,seed,is_stage_seed,weighted_objective,mean_w1_unweighted,mode_tv,visible_tv,unimodal_empirical,unimodal_synthetic,visible_unimodal_empirical,visible_unimodal_synthetic,worst_metric,worst_w1
False,0,42,True,0.20751308690458845,0.23261003687312728,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_lognorm_SW,0.38604361502679974
False,1,10001,False,0.1892286318101617,0.2106686907598152,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.394340916237035
False,2,10002,False,0.19595837572086774,0.21874438345266248,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.3574506980188906
False,3,10003,False,0.19678749562285278,0.21973932733504448,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.37030008176146595
False,4,10004,False,0.184906767873646,0.20548245403599635,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.3841478024620491
False,5,10005,False,0.19224262813183132,0.21428548634581873,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.3488103236404905
False,6,10006,False,0.19377216500713534,0.2161209305961836,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.38689554453413433
False,7,10007,False,0.18697412889830634,0.20796328726558877,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.3670969192711101
False,8,10008,False,0.19098715975684796,0.21277892429583872,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.40390990672656985
False,9,10009,False,0.20430270185887278,0.2287575748182685,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_lognorm_SW,0.3737129862484919
False,10,10010,False,0.20245459938389407,0.22653985184829403,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.36895864919020166
False,11,10011,False,0.20212852028774106,0.22614855693291042,0.15127303717907745,0.01278363694471077,0.5570469798657718,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.38181033055154645
True,0,42,True,0.214746919205368,0.24061949469446547,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_lognorm_SW,0.384567021320975
True,1,10001,False,0.19213295013374596,0.21348273180851898,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.3906636855375497
True,2,10002,False,0.2053520061417861,0.22934559901816715,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.36555233777180757
True,3,10003,False,0.19475163847218577,0.2166251578146468,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.35438140016310166
True,4,10004,False,0.19819511507896492,0.22075732974278178,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.3808296906674613
True,5,10005,False,0.20331997929804815,0.22690716680568163,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,coeffvar,0.3816626392580731
True,6,10006,False,0.19911410491559453,0.22186011754673732,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.3817920325716219
True,7,10007,False,0.18811554370116182,0.20866184408941804,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.3477152084508261
True,8,10008,False,0.20086620155906706,0.2239626335189043,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.3997993487934596
True,9,10009,False,0.2105396993835135,0.23557083090824005,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_lognorm_SW,0.3740903843173514
True,10,10010,False,0.2130827611981377,0.23862250508578908,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_lognorm_SW,0.3676063287685075
True,11,10011,False,0.20339235755511678,0.22699402071416402,0.1579844465750506,0.01278363694471077,0.5503355704697986,0.6917012890167252,0.9530201342281879,0.945989133908597,fit_norm_SW,0.37368842236910055
