arm,dataset,family,status,sigma,model_mean,model_sd,w1
empirical,AccessFlooring,lognormal_offset,,0.520197687266801,1.094092522362358,0.8837053247729145,0.16616512546654055
empirical,AccessFlooring,lognormal_3p,interior,0.541741670730587,1.0940277840880823,0.9046080898422088,0.17134037835324656
empirical,AccessFlooringPedestals,lognormal_offset,,0.5152492575786988,1.0139938035822469,0.8246768397958327,0.1434774932481992
empirical,AccessFlooringPedestals,lognormal_3p,interior,0.5361597525034156,1.0138817282568946,0.84350947664335,0.14642611245077278
empirical,AcousticalCeilings,lognormal_offset,,0.5917145408886757,0.9251370391861763,0.8896343722975735,0.33247581379599345
empirical,AcousticalCeilings,lognormal_3p,interior,1.037080264973146,0.8788362217722585,2.204581322441926,0.1656847059424452
empirical,Aggregates,lognormal_offset,,0.721105541560411,0.7746060267717496,0.9621298468748559,0.7086008680827119
empirical,Aggregates,lognormal_3p,boundary_guard,1.442141399001998,0.7048327340874956,8.678733773327542,0.5912767603711045
empirical,AluminiumBillets,lognormal_offset,,0.5269162802697651,1.068659702910085,0.8798826885958693,0.1121195920786732
empirical,AluminiumBillets,lognormal_3p,interior,0.8244099157205057,1.0789635685091443,1.3892469454623484,0.11678994505152894
empirical,AluminiumExtrusions,lognormal_offset,,0.44038985979478207,1.0021551110754594,0.6929495884381008,0.17918158299896336
empirical,AluminiumExtrusions,lognormal_3p,interior,0.6158860387082455,0.999458178864197,0.806592240351491,0.16362504850061196
empirical,AluminiumSheetGoods,lognormal_offset,,0.4820229801987055,0.9450358123734672,0.7288406480962585,0.16732543646730963
empirical,AluminiumSheetGoods,lognormal_3p,interior,0.9243576470832479,0.9620030918683067,1.4802600724055985,0.19236579073791382
empirical,AluminiumSiding,lognormal_offset,,0.4047866429863204,1.2173006312794752,0.729546459051137,0.3593323336594108
empirical,AluminiumSiding,lognormal_3p,boundary_normal_limit,0.0009988394623919661,1.223244809930541,0.5424265852534194,0.26663091128092475
empirical,AluminiumSuspensionAssembly,lognormal_offset,,0.748632135009192,1.367638254684418,1.6876464516872658,0.3192739215389403
