arm,dataset,n,pewt,w1_stage1,w1_open_grid,w1_truncated,w1_stage2b,lognormal_status
empirical,AccessFlooring,53,"Normal, Uniform",0.15504920203635356,0.15791175076806024,0.15791175076805958,0.15791175076805958,
empirical,AccessFlooring,53,"Normal, Variable",0.1715696504315213,0.17406797582489808,0.1740679758248979,0.1740679758248979,
empirical,AccessFlooring,53,"Lognormal, Uniform",0.17306613844006846,0.17343112493227056,0.1734311249322706,0.2049491754131321,interior
empirical,AccessFlooring,53,"Lognormal, Variable",0.16534996555496398,0.16616512546654055,0.16616512546654055,0.17134037835324656,interior
empirical,AccessFlooring,53,"KDE, Uniform",0.12941979246363794,0.13197953881570898,0.13197953881570895,0.13197953881570895,
empirical,AccessFlooring,53,"KDE, Variable",0.1576738582491632,0.16219088738370752,0.16219088738370763,0.16219088738370763,
empirical,AccessFlooringPedestals,13,"Normal, Uniform",0.20285573604960144,0.20433050309176568,0.20433050309176565,0.20433050309176565,
empirical,AccessFlooringPedestals,13,"Normal, Variable",0.19464442355668618,0.19658868521116324,0.19658868521116324,0.19658868521116324,
empirical,AccessFlooringPedestals,13,"Lognormal, Uniform",0.14746420053266637,0.1478838172606441,0.1478838172606448,0.14772255443386687,interior
empirical,AccessFlooringPedestals,13,"Lognormal, Variable",0.1430591299085997,0.1434774932481992,0.1434774932481992,0.14642611245077278,interior
empirical,AccessFlooringPedestals,13,"KDE, Uniform",0.17168529146084321,0.17393584520448285,0.17393584520448285,0.17393584520448285,
empirical,AccessFlooringPedestals,13,"KDE, Variable",0.2010040174818766,0.20412313233679757,0.20412313233679763,0.20412313233679763,
empirical,AcousticalCeilings,412,"Normal, Uniform",0.9983111364487347,1.0141187594082854,1.0141187594082854,1.0141187594082854,
empirical,AcousticalCeilings,412,"Normal, Variable",0.9477971944543147,0.9638252520237751,0.9638252520237753,0.9638252520237753,
empirical,AcousticalCeilings,412,"Lognormal, Uniform",0.32293908996230564,0.33337397668304314,0.3333739766830432,0.16416989075071345,interior
empirical,AcousticalCeilings,412,"Lognormal, Variable",0.32330762767116017,0.33247581379599345,0.33247581379599345,0.1656847059424452,interior
empirical,AcousticalCeilings,412,"KDE, Uniform",0.38477550501587565,0.4057833744270268,0.4057833744270291,0.4057833744270291,
empirical,AcousticalCeilings,412,"KDE, Variable",0.3525086753384584,0.37326475464461584,0.3732647546446137,0.3732647546446137,
empirical,Aggregates,384,"Normal, Uniform",5.13693186201818,5.243195112562936,5.243195112562935,5.243195112562935,
empirical,Aggregates,384,"Normal, Variable",5.060056655888511,5.166941564361435,5.166941564361436,5.166941564361436,
empirical,Aggregates,384,"Lognormal, Uniform",0.5890944275813086,0.7194184027710565,0.719418402771052,0.5888485653935032,boundary_guard
empirical,Aggregates,384,"Lognormal, Variable",0.6011725375549197,0.7086008680827119,0.7086008680827119,0.5912767603711045,boundary_guard
empirical,Aggregates,384,"KDE, Uniform",1.9027663777768602,2.057173173298868,2.0571731732988674,2.0571731732988674,
empirical,Aggregates,384,"KDE, Variable",1.8966560057929716,2.0352868334629166,2.0352868334629166,2.0352868334629166,
empirical,AluminiumBillets,120,"Normal, Uniform",0.3091059976049743,0.31320394020881887,0.3132039402088189,0.3132039402088189,
empirical,AluminiumBillets,120,"Normal, Variable",0.3463656596795339,0.3506631218404138,0.3506631218404138,0.3506631218404138,
empirical,AluminiumBillets,120,"Lognormal, Uniform",0.11335851183828978,0.11491534773902913,0.11491534773902932,0.09971303188716832,interior
empirical,AluminiumBillets,120,"Lognormal, Variable",0.10955691270467997,0.11211959207867324,0.1121195920786732,0.11678994505152894,interior
empirical,AluminiumBillets,120,"KDE, Uniform",0.1378080973619097,0.1418956335184769,0.1418956335184769,0.1418956335184769,
empirical,AluminiumBillets,120,"KDE, Variable",0.1644237213293298,0.16947368853765338,0.16947368853765393,0.16947368853765393,
empirical,AluminiumExtrusions,36,"Normal, Uniform",0.34182624254385247,0.34349420794890606,0.34349420794890706,0.34349420794890706,
empirical,AluminiumExtrusions,36,"Normal, Variable",0.3605569818630408,0.36240750307770736,0.3624075030777073,0.3624075030777073,
empirical,AluminiumExtrusions,36,"Lognormal, Uniform",0.1757310327395859,0.17585224871611446,0.17585224871611446,0.15992031418166247,interior
empirical,AluminiumExtrusions,36,"Lognormal, Variable",0.1791282339914612,0.1791815829989642,0.17918158299896336,0.16362504850061196,interior
empirical,AluminiumExtrusions,36,"KDE, Uniform",0.14721659002949444,0.1474792558737474,0.14747925587374744,0.14747925587374744,
empirical,AluminiumExtrusions,36,"KDE, Variable",0.1802592408248958,0.18108476056102912,0.18108476056102923,0.18108476056102923,
empirical,AluminiumSheetGoods,26,"Normal, Uniform",0.2904425633798753,0.2923729604292528,0.29237296042925176,0.29237296042925176,
empirical,AluminiumSheetGoods,26,"Normal, Variable",0.24357295064497955,0.24499551193070213,0.24499551193070251,0.24499551193070251,
empirical,AluminiumSheetGoods,26,"Lognormal, Uniform",0.16841108850917347,0.1684793618092257,0.16847936180922668,0.20752189681105224,interior
empirical,AluminiumSheetGoods,26,"Lognormal, Variable",0.16783511595275677,0.1673254364673088,0.16732543646730963,0.19236579073791382,interior
empirical,AluminiumSheetGoods,26,"KDE, Uniform",0.27071795964561596,0.27311025660947397,0.27311025660947386,0.27311025660947386,
empirical,AluminiumSheetGoods,26,"KDE, Variable",0.20651613153292048,0.2084815713401137,0.20848157134011536,0.20848157134011536,
empirical,AluminiumSiding,3,"Normal, Uniform",0.3041824570089012,0.3038469416724189,0.3038469416724189,0.3038469416724189,
empirical,AluminiumSiding,3,"Normal, Variable",0.26652761647165585,0.2664802318111055,0.2664802318111055,0.2664802318111055,
empirical,AluminiumSiding,3,"Lognormal, Uniform",0.37538129813195364,0.37520522771573844,0.3752052277157385,0.7355795673105213,boundary_guard
empirical,AluminiumSiding,3,"Lognormal, Variable",0.35940395907573497,0.35933233365941025,0.3593323336594108,0.26663091128092475,boundary_normal_limit
empirical,AluminiumSiding,3,"KDE, Uniform",0.2883364471072509,0.28748190163559206,0.28748190163559206,0.28748190163559206,
empirical,AluminiumSiding,3,"KDE, Variable",0.2720948208849636,0.2721571449037711,0.2721571449037711,0.2721571449037711,
empirical,AluminiumSuspensionAssembly,22,"Normal, Uniform",0.5058720195059705,0.5123386570784337,0.5123386570784337,0.5123386570784337,
empirical,AluminiumSuspensionAssembly,22,"Normal, Variable",0.6098985080237529,0.6166961246108762,0.6166961246108762,0.6166961246108762,
empirical,AluminiumSuspensionAssembly,22,"Lognormal, Uniform",0.3288176470572186,0.32980388620096895,0.32980388620096907,0.5251770524731395,boundary_guard
empirical,AluminiumSuspensionAssembly,22,"Lognormal, Variable",0.3133111921750433,0.3192739215389402,0.3192739215389403,0.5331706280429814,boundary_guard
empirical,AluminiumSuspensionAssembly,22,"KDE, Uniform",0.3321056483018141,0.3405235018906728,0.34052350189067293,0.34052350189067293,
empirical,AluminiumSuspensionAssembly,22,"KDE, Variable",0.5472669343766547,0.5576494127906526,0.5576494127906528,0.5576494127906528,
empirical,Asphalt,7232,"Normal, Uniform",0.05490462359394863,0.05489879866349823,0.0548987986634983,0.0548987986634983,
empirical,Asphalt,7232,"Normal, Variable",0.050438844882855244,0.05043681071314257,0.050436810713142474,0.050436810713142474,
empirical,Asphalt,7232,"Lognormal, Uniform",0.03472756920196013,0.03472462560936261,0.03472462560936265,0.032939892304868545,interior
empirical,Asphalt,7232,"Lognormal, Variable",0.03244956832710972,0.032453634435973884,0.03245363443597389,0.03137407560168932,interior
empirical,Asphalt,7232,"KDE, Uniform",0.008578317272917564,0.008580474295952224,0.008580474295952229,0.008580474295952229,
empirical,Asphalt,7232,"KDE, Variable",0.006101404686545013,0.006109318962971868,0.0061093189629719885,0.0061093189629719885,
empirical,BackingAndUnderlay,45,"Normal, Uniform",0.7449766684307553,0.7535164775973885,0.7535164775973885,0.7535164775973885,
empirical,BackingAndUnderlay,45,"Normal, Variable",0.7760359338348061,0.7844580791732068,0.7844580791732065,0.7844580791732065,
empirical,BackingAndUnderlay,45,"Lognormal, Uniform",0.3368624094669627,0.3446102177736226,0.3446102177736226,0.24677941541216444,boundary_guard
empirical,BackingAndUnderlay,45,"Lognormal, Variable",0.3314834134838942,0.3399366148160892,0.3399366148160891,0.21579142984605,boundary_guard
empirical,BackingAndUnderlay,45,"KDE, Uniform",0.40392204592103553,0.4172176474705258,0.4172176474705269,0.4172176474705269,
empirical,BackingAndUnderlay,45,"KDE, Variable",0.5288766767096451,0.5427835753324589,0.542783575332459,0.542783575332459,
empirical,BituminousRoofing,66,"Normal, Uniform",0.30252637758214834,0.30513839671407433,0.3051383967140744,0.3051383967140744,
empirical,BituminousRoofing,66,"Normal, Variable",0.33986868853216723,0.3427674292607261,0.34276742926072645,0.34276742926072645,
empirical,BituminousRoofing,66,"Lognormal, Uniform",0.13062373214218792,0.13012255852147614,0.13012255852147617,0.11651275532416863,interior
empirical,BituminousRoofing,66,"Lognormal, Variable",0.12523798278465878,0.12513425616412538,0.12513425616412532,0.11557236990453698,interior
empirical,BituminousRoofing,66,"KDE, Uniform",0.12491283660300197,0.12569216282896895,0.1256921628289678,0.1256921628289678,
empirical,BituminousRoofing,66,"KDE, Variable",0.17480452231624705,0.1766249318219888,0.1766249318219888,0.1766249318219888,
empirical,BlanketFacing,28,"Normal, Uniform",0.2920671255271093,0.29324121157475325,0.29324121157475314,0.29324121157475314,
empirical,BlanketFacing,28,"Normal, Variable",0.10418601493817767,0.10463491870847066,0.10463491870847082,0.10463491870847082,
empirical,BlanketFacing,28,"Lognormal, Uniform",0.19686530696856852,0.1971769622181264,0.1971769622181255,0.19654571157585607,interior
empirical,BlanketFacing,28,"Lognormal, Variable",0.08062512054822907,0.08055180831704539,0.08055180831704616,0.07885518508522768,interior
empirical,BlanketFacing,28,"KDE, Uniform",0.2585078949733587,0.25956285254996153,0.2595628525499616,0.2595628525499616,
empirical,BlanketFacing,28,"KDE, Variable",0.0867431976271803,0.0868888799509927,0.0868888799509927,0.0868888799509927,
empirical,BlanketInsulation [mineral wool],184,"Normal, Uniform",0.5591812673748398,0.5620314611665793,0.5620314611665793,0.5620314611665793,
empirical,BlanketInsulation [mineral wool],184,"Normal, Variable",0.3983761988174742,0.40050059437631985,0.40050059437631985,0.40050059437631985,
empirical,BlanketInsulation [mineral wool],184,"Lognormal, Uniform",0.22085178710014092,0.22109326356403458,0.2210932635640347,0.1411188179186709,interior
empirical,BlanketInsulation [mineral wool],184,"Lognormal, Variable",0.16532798348945213,0.16502738966775948,0.16502738966775865,0.09371431686756049,interior
empirical,BlanketInsulation [mineral wool],184,"KDE, Uniform",0.24322852561906522,0.244222625209899,0.24422262520989904,0.24422262520989904,
empirical,BlanketInsulation [mineral wool],184,"KDE, Variable",0.13375128417902926,0.13397628956529245,0.13397628956529245,0.13397628956529245,
empirical,BlanketInsulation [other],3,"Normal, Uniform",0.44228620779044303,0.4431110251831235,0.44311102518312356,0.44311102518312356,
empirical,BlanketInsulation [other],3,"Normal, Variable",0.21192086520625397,0.21196577894656846,0.21196577894656846,0.21196577894656846,
empirical,BlanketInsulation [other],3,"Lognormal, Uniform",0.5145689578152761,0.5150580005832809,0.51505800058328,0.8443439107087738,boundary_guard
empirical,BlanketInsulation [other],3,"Lognormal, Variable",0.276151992190457,0.2761428182265836,0.2761428182265836,0.21208750180201394,boundary_normal_limit
empirical,BlanketInsulation [other],3,"KDE, Uniform",0.5960186701784498,0.5974690054540222,0.5974690054540226,0.5974690054540226,
empirical,BlanketInsulation [other],3,"KDE, Variable",0.22304561766033723,0.22326389512522934,0.22326389512522873,0.22326389512522873,
empirical,BlanketInsulation [type not stated],129,"Normal, Uniform",0.6423115683707827,0.6479219387602613,0.6479219387602613,0.6479219387602613,
empirical,BlanketInsulation [type not stated],129,"Normal, Variable",0.6269419505926814,0.6328189223419141,0.6328189223419141,0.6328189223419141,
empirical,BlanketInsulation [type not stated],129,"Lognormal, Uniform",0.2757186692487619,0.27783386966698204,0.27783386966698204,0.13530757246009495,interior
empirical,BlanketInsulation [type not stated],129,"Lognormal, Variable",0.25846102240571817,0.25949671164997407,0.25949671164997407,0.12666384256684482,interior
empirical,BlanketInsulation [type not stated],129,"KDE, Uniform",0.286630144093278,0.29146392577660146,0.2914639257766018,0.2914639257766018,
empirical,BlanketInsulation [type not stated],129,"KDE, Variable",0.2583452387262152,0.2638465548788086,0.2638465548788085,0.2638465548788085,
empirical,BlownInsulation [cellulose],3,"Normal, Uniform",0.637848744230143,0.6406279695536129,0.6406279695536129,0.6406279695536129,
empirical,BlownInsulation [cellulose],3,"Normal, Variable",0.6511593181866413,0.6540721950182232,0.654072195018223,0.654072195018223,
