delta_lo_frac,arm,n,pct_at_guard,pct_interior,pct_normal_limit,median_model_sd,p99_model_sd,max_model_sd,pct_sd_blowup,mean_w1,median_w1
0.01,empirical,149,22.14765100671141,68.45637583892618,9.395973154362416,0.8009274761762688,2231.9740685513593,3281.008165525866,20.13422818791946,0.18152621653900297,0.12666384256684482
0.01,synthetic,600,10.666666666666668,74.0,15.333333333333332,0.5253669808631172,3644.628323474843,5345.080931725804,9.833333333333332,0.10373292447457233,0.06444969119080486
0.05,empirical,149,32.88590604026846,57.04697986577181,10.06711409395973,0.7391486219877123,55.60719148159896,77.02347953025307,14.093959731543624,0.16987521819871562,0.1221175407315425
0.05,synthetic,600,13.0,71.33333333333334,15.666666666666668,0.5229774828355164,72.79912605191964,99.06722886117065,6.333333333333334,0.0994736082617963,0.06425129913985135
0.1,empirical,149,38.92617449664429,50.33557046979866,10.738255033557047,0.7018281990917976,11.923153713362813,17.94117078820367,5.369127516778524,0.1691302018900255,0.12682929334938942
0.1,synthetic,600,17.166666666666668,67.0,15.833333333333332,0.5127016032736875,14.698766552148465,19.149410411107013,3.166666666666667,0.09790060990229171,0.0642102698280862
0.25,empirical,149,48.322147651006716,40.939597315436245,10.738255033557047,0.6610227341749614,2.682048267412308,3.362818158172574,0.0,0.17780802851847483,0.12195780559778059
0.25,synthetic,600,29.5,54.333333333333336,16.166666666666664,0.487699708278959,2.0860931823360236,2.863762986705718,0.0,0.09744669048648712,0.06668503282456938
0.5,empirical,149,59.06040268456376,30.201342281879196,10.738255033557047,0.6295577040130396,1.5342777488457275,1.8690439920342417,0.0,0.19414717591484165,0.13677478021066464
0.5,synthetic,600,41.0,42.833333333333336,16.166666666666664,0.4653567526603304,1.191308083780755,1.4579712385487786,0.0,0.10098226593761789,0.07159955655212193
1.0,empirical,149,69.79865771812081,19.463087248322147,10.738255033557047,0.5778811856125141,1.4183506929667349,1.6846532976075679,0.0,0.22034336723643194,0.13797902791567979
1.0,synthetic,600,52.166666666666664,31.333333333333336,16.5,0.45444541856339526,1.0497840226870336,1.3308708671840372,0.0,0.10867108047761555,0.07868148633848884
