realization,dataset,n,method,w1,rank
0,BlanketFacing,28,"Lognormal, Variable",0.11508303967582342,3.0
0,BlanketFacing,28,"KDE, Uniform",0.0950010386662193,1.0
0,BlanketFacing,28,"KDE, Variable",0.11334083343850836,2.0
0,BlanketInsulation [mineral wool],184,"Normal, Uniform",0.5373560372243524,6.0
0,BlanketInsulation [mineral wool],184,"Normal, Variable",0.4683599355811075,5.0
0,BlanketInsulation [mineral wool],184,"Lognormal, Uniform",0.19141228743573757,3.0
0,BlanketInsulation [mineral wool],184,"Lognormal, Variable",0.19380544564451618,4.0
0,BlanketInsulation [mineral wool],184,"KDE, Uniform",0.09466525174745212,2.0
0,BlanketInsulation [mineral wool],184,"KDE, Variable",0.0295579484155511,1.0
0,BlanketInsulation [other],3,"Normal, Uniform",0.8026435842702198,5.0
0,BlanketInsulation [other],3,"Normal, Variable",0.31744826297309187,2.0
0,BlanketInsulation [other],3,"Lognormal, Uniform",0.7415380052613235,4.0
0,BlanketInsulation [other],3,"Lognormal, Variable",0.18216393134558148,1.0
0,BlanketInsulation [other],3,"KDE, Uniform",0.9592254306332795,6.0
0,BlanketInsulation [other],3,"KDE, Variable",0.37712042044614674,3.0
0,BlanketInsulation [type not stated],129,"Normal, Uniform",0.5966068420243414,6.0
0,BlanketInsulation [type not stated],129,"Normal, Variable",0.3083494898634619,5.0
0,BlanketInsulation [type not stated],129,"Lognormal, Uniform",0.14883688104343057,3.0
0,BlanketInsulation [type not stated],129,"Lognormal, Variable",0.1025212595346628,2.0
0,BlanketInsulation [type not stated],129,"KDE, Uniform",0.21180828421243808,4.0
0,BlanketInsulation [type not stated],129,"KDE, Variable",0.047361870536972786,1.0
0,BlownInsulation [cellulose],3,"Normal, Uniform",1.2064130323474571,5.0
0,BlownInsulation [cellulose],3,"Normal, Variable",0.4220178578016638,2.0
0,BlownInsulation [cellulose],3,"Lognormal, Uniform",1.7792065167462632,6.0
0,BlownInsulation [cellulose],3,"Lognormal, Variable",0.4227796720403536,3.0
0,BlownInsulation [cellulose],3,"KDE, Uniform",1.1822366400749216,4.0
0,BlownInsulation [cellulose],3,"KDE, Variable",0.41961534168925724,1.0
0,BlownInsulation [type not stated],16,"Normal, Uniform",0.28262163383581607,5.0
0,BlownInsulation [type not stated],16,"Normal, Variable",0.10699810966031194,3.0
0,BlownInsulation [type not stated],16,"Lognormal, Uniform",0.19004785877900945,4.0
0,BlownInsulation [type not stated],16,"Lognormal, Variable",0.07525124152987298,1.0
0,BlownInsulation [type not stated],16,"KDE, Uniform",0.29327374042092885,6.0
0,BlownInsulation [type not stated],16,"KDE, Variable",0.08857617694775954,2.0
0,BoardInsulation [EPS],47,"Normal, Uniform",1.0031374257678898,5.0
0,BoardInsulation [EPS],47,"Normal, Variable",1.3893265023799288,6.0
0,BoardInsulation [EPS],47,"Lognormal, Uniform",0.4358538542378967,2.0
0,BoardInsulation [EPS],47,"Lognormal, Variable",0.48544273309575914,3.0
0,BoardInsulation [EPS],47,"KDE, Uniform",0.3183194959774737,1.0
0,BoardInsulation [EPS],47,"KDE, Variable",0.8138517742858875,4.0
0,BoardInsulation [PIR or PUR],50,"Normal, Uniform",0.7450633842860845,5.0
0,BoardInsulation [PIR or PUR],50,"Normal, Variable",0.9430050672563253,6.0
0,BoardInsulation [PIR or PUR],50,"Lognormal, Uniform",0.4088928996824745,3.0
0,BoardInsulation [PIR or PUR],50,"Lognormal, Variable",0.3646178126265924,2.0
0,BoardInsulation [PIR or PUR],50,"KDE, Uniform",0.20560830852483075,1.0
0,BoardInsulation [PIR or PUR],50,"KDE, Variable",0.6180323127131175,4.0
