material,coeffvar,coeffvar_uw,crit_bw_1,crit_bw_1_uw,entropy,entropy_uw,fit_lognorm_SW,fit_lognorm_SW_uw,fit_norm_SW,fit_norm_SW_uw,kurtosis,kurtosis_uw,mean,mean_uw,modality_index,modality_index_uw,n,skewness,skewness_uw,w_v_uw_wasserstein,weight_outliers,weight_outliers_uw
AccessFlooring,0.5271922161104512,0.5708818864910307,0.30515335672686894,0.3567244439231671,3.325804992939023,3.6435730443018386,0.9471072318547569,0.946644327831709,0.9553956611445362,0.9478971444520974,-0.5182234319601902,-0.7880593677755096,0.9509590535427778,1.0000000000000002,1.0,1.0,60.0,0.5634497678616263,0.47836099406456634,0.07599731480362103,0.0,0.0
AccessFlooringPedestals,0.6593693308718594,0.5556694814592282,0.49735988445017787,0.5384793239402724,1.7255792813136024,2.1458417525947624,0.9558953614659749,0.8663730208673119,0.9450366769915214,0.951703532261783,0.17347882385844493,-0.26808927366840357,0.8131676293115213,1.0,1.0,1.0,11.0,0.8236691055297013,0.40395628839805653,0.1941089942168122,0.0,0.0
AcousticalCeilings,0.9400517101173885,0.9306264726789635,0.9052866323058156,0.8791503961379835,4.206672814010278,4.310964068252653,0.9643008180423591,0.9570115216468996,0.6728461990949343,0.6874240547883577,8.5871545784512,8.29003102807595,0.9990194099714589,0.9999999999999998,1.0295582609382898,1.0282539603060135,353.0,2.8048043399544142,2.7406457916081304,0.024844930700579405,0.09469833696531052,0.07932011331444758
Aggregates,1.6882844256277636,1.6553317321147125,0.7443540798390832,0.8031043759376953,3.503876572960278,3.618379193921195,0.9836757022708867,0.9735613871404525,0.5739695243210506,0.598358591011309,9.05082124771537,7.23477623107122,0.8654956948999435,1.0000000000000004,1.0247440952818878,1.0268459936734478,204.0,2.9538629478371305,2.690938014829884,0.14360510769015045,0.15334032005210393,0.11764705882352941
Aluminium,1.043341510825738,0.961716672312714,0.8035648772793581,0.42660323523255095,3.953235482826433,4.1377023293874045,0.9081469094653501,0.9258201924736384,0.782659349517273,0.8327036847452167,2.8541470840393415,2.670191311231172,1.0845790797198545,1.0,1.0374472034048017,1.0006000523114886,123.0,1.786783130557886,1.6118540354811892,0.09775979621211645,0.08197524946051184,0.04065040650406505
AluminiumBillets,0.7393750326353137,0.7419050831471042,0.676302308095366,0.6726316748161817,3.5868083850392356,3.972490967417443,0.8882621501372442,0.910190900637113,0.9045725475964386,0.8722027771594283,1.621455995622109,2.919492947137032,1.0881162861479576,1.0000000000000002,1.0227572703617236,1.0363853318875609,63.0,1.1573535248590319,1.5014253809644118,0.10507804482239685,0.04417548476469123,0.06349206349206349
AluminiumExtrusions,0.7088138323998305,0.7946776616632608,0.5220603080636367,0.4972976629733073,2.342817821646944,2.507026435557432,0.866206741531374,0.9330582835686616,0.9488351958345373,0.8939181205982079,0.17511011193720688,0.7411552865733417,1.1684318804336515,0.9999999999999999,1.0,1.0,17.0,0.698533316356568,1.0427273592173383,0.18482456555922416,0.07892882022656264,0.0
AluminiumSheetGoods,0.8826295006184199,0.8305923606754622,0.5530516266496166,0.41432598845235225,2.939316955588237,3.34787741907958,0.9370074410554107,0.9444227541766893,0.7824154908433004,0.8029913574602715,0.6510504602704603,0.389123401170983,0.9402420762958363,1.0,1.0,1.0,34.0,1.371503840299545,1.2551488240787239,0.0757630203096221,0.14594064059828052,0.08823529411764705
AluminiumSiding,0.355578915977504,0.5280530327661387,0.40972269865859967,0.6038252026953387,0.8399008794336449,1.0986122886681144,0.9143391679474104,0.9561474769901385,0.9998690246456261,0.9998590287176354,,,1.0183377586202962,1.0,1.0,1.0,3.0,-0.16804869088220215,-0.061683011513161516,0.22803854335889856,0.0,0.0
AluminiumSuspensionAssembly,1.5239588264494535,1.6627218217534026,0.9774987367434571,0.6854076475103643,1.864677504277015,2.0642580751745307,0.9724615019844867,0.9513574332321197,0.6926067192893175,0.5975612264534156,0.4489457373232361,5.085317709510692,1.441682933919154,1.0000000000000002,1.0088655952648466,1.0023887022740159,14.0,1.4574396765812718,2.3670740077256123,0.5081640818247667,0.24380448053291393,0.14285714285714285
