metric,coeffvar,skewness,kurtosis,entropy,crit_bw_1,weight_outliers,fit_norm_SW,fit_lognorm_SW,w_v_uw_wasserstein,arm
coeffvar,1.0,0.8083592040213458,0.784758079033711,-0.40637287201294625,0.7556822142168185,0.253346665203714,-0.7308343938681751,0.0837665276465423,0.3290431212453918,empirical
skewness,0.8083592040213458,1.0,0.928684873547962,-0.2604228025879921,0.870060795981257,0.22639555650226528,-0.8486892903618231,0.0951621465778299,0.27472297903706433,empirical
kurtosis,0.784758079033711,0.928684873547962,1.0,-0.3518451374129254,0.8184446887964436,0.0980312129207727,-0.6802532476185008,0.0600966176247204,0.26548712208852515,empirical
entropy,-0.40637287201294625,-0.2604228025879921,-0.3518451374129254,1.0,-0.16135915618175262,-0.1249007323758719,0.21041038225648095,0.30100013844314527,-0.5966090481153161,empirical
crit_bw_1,0.7556822142168185,0.870060795981257,0.8184446887964436,-0.16135915618175262,1.0,0.14239838608731714,-0.7616331751127681,0.12491561263469458,0.13580641499285012,empirical
weight_outliers,0.253346665203714,0.22639555650226528,0.0980312129207727,-0.1249007323758719,0.14239838608731714,1.0,-0.4807322653299612,-0.0818878669250868,0.1041319188985525,empirical
fit_norm_SW,-0.7308343938681751,-0.8486892903618231,-0.6802532476185008,0.21041038225648095,-0.7616331751127681,-0.4807322653299612,1.0,-0.0029645730762946606,-0.24845559426269956,empirical
fit_lognorm_SW,0.0837665276465423,0.0951621465778299,0.0600966176247204,0.30100013844314527,0.12491561263469458,-0.0818878669250868,-0.0029645730762946606,1.0,-0.11543770111025294,empirical
w_v_uw_wasserstein,0.3290431212453918,0.27472297903706433,0.26548712208852515,-0.5966090481153161,0.13580641499285012,0.1041319188985525,-0.24845559426269956,-0.11543770111025294,1.0,empirical
coeffvar,1.0,0.35765691967157875,-0.03325258191107776,0.124263631385691,0.06443666083383498,-0.017780121053566435,-0.27722461331859244,0.23060560555723658,0.3614727370040314,synthetic
skewness,0.35765691967157875,1.0,-0.2974493713646219,0.14211959241765357,-0.06750936751025205,0.11707571745822183,0.004861780796473123,0.3672582100025197,-0.0028238915872286574,synthetic
kurtosis,-0.03325258191107776,-0.2974493713646219,1.0,-0.19512013953977211,-0.03933224269678257,0.058861986294583155,-0.31875018154520207,-0.22236831259286613,0.035235177274749487,synthetic
entropy,0.124263631385691,0.14211959241765357,-0.19512013953977211,1.0,-0.3816848882391366,-0.03044008743964023,0.1338044581600191,0.026417191950870354,-0.16459248935190765,synthetic
crit_bw_1,0.06443666083383498,-0.06750936751025205,-0.03933224269678257,-0.3816848882391366,1.0,-0.10047853258003077,-0.20493952307636218,-0.02076972235969409,0.3429589577396718,synthetic
weight_outliers,-0.017780121053566435,0.11707571745822183,0.058861986294583155,-0.03044008743964023,-0.10047853258003077,1.0,-0.296560046633225,-0.1810158027498134,0.019387945923052746,synthetic
fit_norm_SW,-0.27722461331859244,0.004861780796473123,-0.31875018154520207,0.1338044581600191,-0.20493952307636218,-0.296560046633225,1.0,0.4807969661440592,-0.2511600549856907,synthetic
fit_lognorm_SW,0.23060560555723658,0.3672582100025197,-0.22236831259286613,0.026417191950870354,-0.02076972235969409,-0.1810158027498134,0.4807969661440592,1.0,-0.091586903348354,synthetic
w_v_uw_wasserstein,0.3614727370040314,-0.0028238915872286574,0.035235177274749487,-0.16459248935190765,0.3429589577396718,0.019387945923052746,-0.2511600549856907,-0.091586903348354,1.0,synthetic
