metric,empirical_min,empirical_median,empirical_max,synthetic_min,synthetic_median,synthetic_max,empirical_covered,margin_below,margin_above,synthetic_beyond_empirical
n,3.0,53.0,86770.0,3.0,99.5,9848.0,0.9926470588235294,0.0,-0.8865352034759759,0.0
coeffvar,0.008071961891657587,0.7823090199084836,13.398935471615102,0.002827662304989607,0.5554067509442273,2.4964297875593395,0.9485294117647058,0.00039163266677014235,-0.8141749541498334,0.007
skewness,-1.2392583256529812,2.059584054459011,20.646232455926846,-16.089011265563748,0.7348107929891573,20.82193698128944,1.0,0.6785204448057994,0.008028356645786426,0.086
kurtosis,-3.992514814830852,5.757942488533415,475.2466828290616,-5.906898386253177,1.3381413957441877,264.168196966861,0.9772727272727273,0.003994630616264497,-0.4404449529586401,0.005336179295624333
entropy,0.13171201850220424,2.930540038638127,4.908423534965472,0.14016915606278196,3.545070681993575,5.143399035037963,0.9926470588235294,-0.0017704936819880404,0.04919189682329193,0.063
crit_bw_1,0.29570417070894345,0.8519580788266062,4.237970944353592,0.12155245430457834,0.5524211404277809,1.8514206888149318,0.9117647058823529,0.044175528041031295,-0.6053751287187195,0.102
weight_outliers,0.0,0.05714269684099743,0.308984990544649,0.0,0.01893334137124235,0.36041062571288696,1.0,0.0,0.16643408819823186,0.004
fit_norm_SW,0.03873879682799784,0.7561292197164595,0.9998353931150059,0.26196930065975327,0.8940855344853139,0.9999803501258709,0.9558823529411765,-0.23226645968174156,0.00015082460121598884,0.003
fit_lognorm_SW,0.5688034268949738,0.9367945627134653,0.9965532756456256,0.34135244094283657,0.8908054056972124,0.9999948726293665,1.0,0.531738319993481,0.008045816950708317,0.037
w_v_uw_wasserstein,0.0012230312850689223,0.11916001421685755,0.8700093311186458,0.0006696928227381302,0.13087288310204065,2.89040401968525,1.0,0.0006369097468926348,2.3255370036954166,0.021
