metric,empirical_median,synthetic_median,empirical_iqr,synthetic_iqr,median_shift_in_sd,w1_standardized,ks
fit_lognorm_SW,0.9474301938836615,0.9354361220261438,0.06617570858602617,0.07420395380247502,-0.22773992338992782,0.40079565748464013,0.13561496598639455
coeffvar,0.6575556533639743,0.503160920068338,0.6654454844565173,0.4879859350311133,-0.21847728974417033,0.38059355544991036,0.24013877551020407
entropy,2.990517980566894,3.400831030519279,1.3200106207925444,2.339118382568349,0.40746367321490096,0.3581331180662942,0.21430204081632653
w_v_uw_wasserstein,0.09292574718589587,0.09407637507930594,0.10000596524362824,0.14600696335937388,0.011098662827853963,0.28677041824898786,0.11495646258503402
fit_norm_SW,0.8518677721517369,0.8759826902411805,0.24011493666278994,0.16620926214622245,0.1397330846872995,0.24808109960759187,0.14580884353741497
n,47.0,99.5,143.0,989.75,0.015187501991298947,0.2432245034354042,0.23534013605442178
crit_bw_1,0.7079755318672748,0.6788162906370956,0.4840693327290432,0.458496553946918,-0.060821709664797094,0.1818424739027153,0.06514285714285714
skewness,1.5048318138265726,1.3397322124162252,1.9063310339047161,2.214532832805802,-0.06831347281073324,0.17016988900625682,0.0890482993197279
weight_outliers,0.04307123148709055,0.04644780198694182,0.09947365577287785,0.0694743698185271,0.044057919822660545,0.1342696513251867,0.10487142857142857
kurtosis,3.607664401158456,4.217729068424228,10.460914120540988,12.281334431064876,0.013062172353138076,0.11848052039169024,0.12404850616601244
