metric,median__s1_3_9,median__s2_10_99,median__s3_100_999,median__s4_1000_9999,median_equal_allocation,median_post_stratified,median_empirical
coeffvar,0.37395094156489606,0.5498244332359137,0.5960181638711204,0.6051530428177102,0.5396796715695688,0.5490345479853643,0.7823090199084836
skewness,0.44983497045421367,0.6907046263642909,0.8400219171076327,0.848587619970786,0.7405096726202796,0.7187689527683031,2.059584054459011
kurtosis,1.455729669923847,0.31056664454449867,0.9402140211250423,1.356401822161038,0.9549505713748774,0.65388535164711,5.757942488533415
entropy,1.091500678818229,2.436949718548309,3.9604888717230535,4.4075412120462545,2.8526447020053753,2.846388811670431,2.930540038638127
crit_bw_1,0.687429010301867,0.6303636621363623,0.5694337764922084,0.494013362207162,0.6125636917770872,0.6117455310312528,0.8519580788266062
weight_outliers,0.0,0.00967737898106058,0.032115539277820696,0.03556409127156867,0.012928770028012612,0.016544347565206254,0.05714269684099743
fit_norm_SW,0.8730960069127874,0.8236883881536663,0.8365891950734055,0.8477147747138082,0.8461234099188499,0.8333364595612144,0.7561292197164595
fit_lognorm_SW,0.8807043343124434,0.838594672782144,0.8392908954599816,0.8501476530139049,0.8524967964861607,0.8433694312147215,0.9367945627134653
w_v_uw_wasserstein,0.1697089772878268,0.16271931421925453,0.1172906880568307,0.09411183026999219,0.13884598270669812,0.14688283769850577,0.11916001421685755
