metric,split (142),unsplit (136),change
entropy,0.46589664225588745,0.398975602652645,0.06692103960324247
coeffvar,0.44246867559413605,0.3236693166686027,0.11879935892553334
fit_norm_SW,0.4365494744060939,0.4243535411810243,0.012195933225069566
skewness,0.2975833259799353,0.26025937563815754,0.03732395034177777
fit_lognorm_SW,0.21086873005387707,0.24040875317258717,-0.029540023118710096
n,0.1836073001390789,0.18120042123508176,0.0024068789039971283
crit_bw_1,0.1783592936914629,0.11980702035574606,0.05855227333571683
weight_outliers,0.1380674023100831,0.13643110156213212,0.0016363007479509861
w_v_uw_wasserstein,0.13196287861034872,0.1834999705601481,-0.051537091949799385
kurtosis,0.10067922149372636,0.11638497666809221,-0.015705755174365843
