quantity,unsplit (136),split (149),change
datasets,136.0,149.0,13.0
coeffvar median,0.7569788491676226,0.6666406779747964,-0.09033817119282617
coeffvar log10 sd,0.38001474990670453,0.39194587735108405,0.011931127444379519
coeffvar log10 mean,-0.13872939479667165,-0.22065352512334638,-0.08192413032667473
coeffvar min,0.006201137995202942,0.006201137995202942,0.0
coeffvar max,14.340736365724066,14.340736365724066,0.0
skewness median,1.731732729358436,1.5494198523478024,-0.18231287701063348
skewness min,-2.2049140397407774,-2.4080552993437827,-0.20314125960300533
skewness max,28.357376898648365,28.357376898648365,0.0
kurtosis median,5.4902417106708175,3.7158617654936212,-1.7743799451771962
kurtosis max,835.3200854384146,835.3200854384146,0.0
n median,53.0,50.0,-3.0
n max,86770.0,31025.0,-55745.0
crit_bw_1 median,0.7945592667242222,0.7102833691515884,-0.08427589757263376
crit_bw_1 max,4.175688026156343,4.175688026156343,0.0
silverman unimodal share (nboot=100),0.49264705882352944,0.5570469798657718,0.06439992104224235
visible unimodal share,0.9485294117647058,0.9530201342281879,0.004490722463482033
visible 2 modes,0.051470588235294115,0.040268456375838924,-0.011202131859455192
visible 3+ modes,0.0,0.006711409395973154,0.006711409395973154
entropy median,3.0111781962121036,2.990517980566894,-0.02066021564520959
weight_outliers median,0.043994853720188964,0.040958150150051706,-0.0030367035701372586
fit_norm_SW median,0.8186465471752226,0.8473840760520954,0.028737528876872864
fit_lognorm_SW median,0.9393704659373387,0.9468811101110821,0.007510644173743364
w_v_uw_wasserstein median,0.09880871361426416,0.09402797565305154,-0.004780737961212617
modality_index median,1.0088498735582916,1.0038012417208124,-0.005048631837479167
stratum share s1_3_9,0.09558823529411764,0.1342281879194631,0.03863995262534545
stratum share s2_10_99,0.5588235294117647,0.5302013422818792,-0.028622187129885512
stratum share s3_100_999,0.29411764705882354,0.26174496644295303,-0.03237268061587051
stratum share s4_1000_9999,0.04411764705882353,0.053691275167785234,0.009573628108961701
share above 9999,0.007352941176470588,0.020134228187919462,0.012781287011448874
