dataset,coeffvar,coeffvar_uw,crit_bw_1,crit_bw_1_uw,entropy,entropy_uw,fit_lognorm_SW,fit_lognorm_SW_uw,fit_norm_SW,fit_norm_SW_uw,kurtosis,kurtosis_uw,mean,mean_uw,modality_index,modality_index_uw,n,skewness,skewness_uw,w_v_uw_wasserstein,weight_outliers,weight_outliers_uw,n_modes_silverman,n_modes_visible
AccessFlooring,0.7166120797150832,0.7973928575390324,0.5617393696908978,0.7274248494701964,3.3173315708386406,3.6726978358901863,0.8494116503658599,0.912889545161801,0.9408523678774999,0.8870817017132662,-0.42320177424830163,3.3764462370627895,1.0495831275216292,0.9999999999999999,1.0006204365334728,1.0280841516181272,53.0,0.5055559928364058,1.4611833411752164,0.12066643069036952,0.002196022764953359,0.018867924528301886,1,1
AccessFlooringPedestals,0.7455856917047092,0.6420544974645521,0.5598094957506264,0.4942698121611483,2.210414170851654,2.351673301904639,0.8917379209458604,0.9247448315443465,0.9666226237052599,0.9467795739712258,0.16625917979727137,0.49182272625335366,0.9680125954677462,1.0000000000000002,1.0,1.0,13.0,0.7530917292035287,0.7895028742751836,0.0803901182218877,0.0,0.0,1,1
AcousticalCeilings,1.7535974083137917,1.6591697013389641,1.7688590040861671,1.6255745426907335,3.1995322798062906,3.348246316654555,0.9533433053206312,0.9622585378473276,0.4489224569193863,0.5006358208247527,42.285215975721634,38.18153348513542,0.9312200364004626,1.0000000000000002,1.0093244332579738,1.008822288055942,412.0,5.74887852611989,5.27016477638714,0.09292574718589587,0.14054918359803203,0.145631067961165,2,1
Aggregates,14.340736365724066,13.600956754446665,4.171017698886292,4.366959600325371,0.1970744491073821,0.23312573115082397,0.9288929792928595,0.9226675547271814,0.03202752421613641,0.04217035484506115,835.3200854384146,368.31693775132794,0.6261666530801666,0.9999999999999996,1.0030514379304019,1.0049317218972285,385.0,28.357376898648365,19.026036176258025,0.44214827038008064,0.06594931642866098,0.1064935064935065,3,1
Aluminium,1.1345193001651581,1.1373243131891615,1.6748145855792054,1.4747411091879208,3.760146575558265,3.8042870708527023,0.9884557779539525,0.9886150041865063,0.6593858701114167,0.6705498711678214,22.804204204651043,22.42413995157351,1.0762924920334498,0.9999999999999999,1.0135604261313182,1.0119558914664593,178.0,3.813689861492054,3.768632344472071,0.09553569647090437,0.0500860474724582,0.06179775280898876,2,1
AluminiumBillets,0.9001384470221278,0.8656033349634747,0.8863996228865847,0.9840579270630823,3.864277586109131,4.126670474533679,0.972478099150505,0.9537935662538458,0.8123807792000486,0.822467890478628,5.668478652861983,8.613243147204013,1.0443500678418767,1.0,1.020427907769703,1.017329270759607,120.0,1.9909219075630311,2.236995624420989,0.06714912019288702,0.05091374499805163,0.03333333333333333,2,1
AluminiumExtrusions,0.7674662456690937,0.8424412596827917,0.8846275386839074,0.9415570094719036,3.046177064540284,3.2828949078742866,0.9192116540168563,0.9227744837479634,0.7587763388015577,0.7307795213591978,7.41889195515598,7.093139300939295,1.0226587484348033,1.0000000000000002,1.0536877942223655,1.0698587077307478,37.0,2.4040322823260736,2.4761288678314393,0.06735164952341033,0.04498975752074255,0.05405405405405406,2,1
AluminiumSheetGoods,0.8218833647220964,0.8322869541332962,0.38589195151699346,0.470608801393936,2.7651059946294607,2.971376539969033,0.9474251833827445,0.9510641296365299,0.8349972892712356,0.8443267531038592,0.7931281673288593,0.15362685049534813,0.9268196356467017,1.0,1.0,1.0,26.0,1.2091314879439061,1.0742523999301254,0.0821835427805069,0.028728472093710485,0.038461538461538464,1,1
AluminiumSiding,0.4755023523128038,0.5280530327661387,0.7898308884002749,0.6038252026953387,0.9286361675688839,1.0986122886681144,0.9607586427101262,0.9561474769901381,0.9955351590063858,0.9998590287176354,,,1.1978968655652944,1.0,1.0,1.0,3.0,-1.607850114171004,-0.06168301151315891,0.19789686556529412,0.0,0.0,1,1
AluminiumSuspensionAssembly,1.1268977495325276,1.201867774075298,0.7079755318672748,0.7015529080303639,2.142475525238708,2.347180829317888,0.9030430298440333,0.9093437360966836,0.792032145773023,0.7629110641513599,2.2690202270405173,4.483214366916057,1.2164893301478634,1.0000000000000002,1.0,1.0204005894902481,22.0,1.5593579578101497,1.9275733301416929,0.21648933014786348,0.06955559152005275,0.045454545454545456,1,1
Asphalt,0.2600988575656265,0.26500025515816206,0.4123525292425127,0.4518768062802839,4.5945344853625,4.623080975179613,0.9652229947878748,0.9678180434231227,0.9028121578587365,0.8963405675894759,5.9041100823531245,6.109877075826179,0.9955233612521002,1.0000000000000002,1.0069061854534085,1.009154565156715,7232.0,1.5393058855743464,1.6228284976725058,0.004927035618183227,0.044653013408665156,0.045492256637168146,1,1
BackingAndUnderlay,1.3734254035589537,1.4273083601253846,0.6817889769378337,0.8070070024387275,3.053410983274887,3.1711062139668496,0.9839805203242731,0.9543715662249908,0.6822747554989643,0.6497797011049407,5.1902112222033745,6.853265645063857,1.0583462967351864,0.9999999999999998,1.0143054644431793,1.037033785089428,45.0,2.272252795914303,2.585468631620784,0.11078299619851735,0.12003060443866136,0.11111111111111112,1,1
BituminousRoofing,0.8934721382063724,0.8825190221461414,1.068592562545425,0.949456086808417,3.4266787034784785,3.619754775050524,0.9780114202410796,0.9883179098031101,0.7336423377662074,0.7493861778079243,10.32890244783706,10.097923067558629,1.0341453745262283,1.0,1.0277749518532497,1.0222072619938776,66.0,2.69821941981011,2.661886929699789,0.07221369851198846,0.031248153863216457,0.06060606060606061,2,1
BlanketFacing,0.5768557783561169,0.6603474412261163,0.6506613889254824,0.8396829198125447,2.787679977141621,3.1836729714837984,0.8727234599054907,0.8724002405574519,0.8705184285634944,0.7943923596512326,6.540705755360844,5.0391654682247955,0.8191719518622501,1.0000000000000002,1.0237291386274983,1.0605764113186673,28.0,1.6934683294359287,1.9613562338564847,0.1822990286817721,0.021424536975713875,0.07142857142857142,2,1
BlanketInsulation,1.071247594463195,1.1771099168917651,0.8780719033558959,0.8987074506366975,3.603716284314361,3.696237798835336,0.9534131746126774,0.9526234365563668,0.6421545691752643,0.5902323896064108,9.460986135192309,15.311732367373637,1.023914596054706,1.0,1.035914229459757,1.0300924447566715,318.0,2.8369946026989483,3.4849334106328294,0.0646754272570931,0.0993022102464736,0.1069182389937107,1,1
BlownInsulation,1.1525771860331153,1.0302301695569904,0.7680093550941888,0.6437983910202446,2.4685091279040137,2.925202764171123,0.8848828211712103,0.9484385973332286,0.5865162317391772,0.7277707884882466,9.511630643238194,3.652388848914864,0.7676742051676418,1.0,1.025530721284332,1.009090357881696,24.0,2.94985719179345,1.996726973333414,0.23748359468995658,0.17200600779370112,0.08333333333333333,1,1
BoardInsulation,1.0990759411571613,1.186620637105575,1.3058667006197815,1.2464443167858958,3.821724924918399,3.9564648122498043,0.9756822483258571,0.983748809825297,0.6611866849500078,0.6371003483294939,21.93540777388571,18.962213974214727,0.9425527982384447,1.0000000000000002,1.005512857940523,1.0107340710741997,335.0,3.693170905186997,3.677614393341703,0.06530140543255211,0.08347335622259229,0.08059701492537315,2,1
