corpus,empirical_arm,n_datasets,weighted_objective,mean_w1_unweighted,mode_tv,visible_tv,unimodal_empirical,unimodal_synthetic,visible_unimodal_empirical,visible_unimodal_synthetic,worst_metric,worst_w1
2026-09-14b,unsplit (136),136,0.21474294299297303,0.23849900796942172,0.19088197699190454,0.0010432592295546218,0.49264705882352944,0.6675543246697913,0.9485294117647058,0.9474861525351512,fit_norm_SW,0.4243535411810243
2026-09-14b,split (142),142,0.2305048739417702,0.25860429445346295,0.17679746994965106,0.003218072816961413,0.5070422535211268,0.6675543246697913,0.9507042253521126,0.9474861525351512,entropy,0.46589664225588745
