metric,s4_median,probe_median,s4_mean,probe_mean,diff_in_sd,diff_over_se
coeffvar,0.06070964972578902,0.06369886064042911,0.13040068908975394,0.15026654275515822,0.11274331021974071,0.762647485815625
entropy,4.146262330784294,3.754162681730307,3.9416974070714024,3.653004544227006,-0.29033972463778446,-1.8436291716563151
skewness,0.0015129257035710318,0.09892328533007849,0.03841063052736474,-0.06574196970166551,-0.07351378803016864,-0.5004252640062902
kurtosis,0.6696375929513869,1.4057461971424807,1.8055568347539341,2.1372199109920857,0.042302021570717295,0.3465118361080087
modality_index,1.2305465897559662,1.3173824379453825,1.3118200088470051,1.3953779203069252,0.22460541260659483,1.3987560180180951
crit_bw_1,0.5478176861035574,0.5220545406508308,0.5456294837078208,0.4957799441720766,-0.17539443718506287,-1.1592931757040332
weight_outliers,0.0298150040886113,0.04146866396045003,0.05874977887866238,0.07150480130431697,0.14684882389252582,0.9820801053531351
fit_norm_SW,0.8189321333471624,0.8184559781593341,0.8034035031582134,0.798122038474459,-0.034888095450774106,-0.2364851236933748
fit_lognorm_SW,0.8207315987762922,0.82205677509015,0.8043242284344226,0.789762367600501,-0.0898372395203173,-0.5859192037629278
w_v_uw_wasserstein,0.021118238186945165,0.023947050540739846,0.05566895379468022,0.08779292897308491,0.2949438879858877,1.795904388620666
