stratum,truncated_mass
s1_3_9,0.015547630713575122
s1_3_9,8.702649711977983e-11
s1_3_9,0.17866489496199667
s1_3_9,0.04085926182151611
s1_3_9,0.2132443244785137
s1_3_9,1.1843387222043589e-05
s1_3_9,6.579472624279603e-06
s1_3_9,2.987217140315579e-10
s1_3_9,7.200762208725564e-11
s1_3_9,9.928224908861694e-11
s1_3_9,3.969458628461098e-08
s1_3_9,0.01434379258087437
s1_3_9,0.0
s1_3_9,2.76257714815209e-07
s1_3_9,3.3013591860253655e-12
s1_3_9,0.002688473749670184
s1_3_9,1.196458043750681e-09
s1_3_9,0.016646164800692698
s1_3_9,0.015113936291270225
s1_3_9,0.0003596702428212417
s1_3_9,0.000406174310248808
s1_3_9,0.008903613921076747
s1_3_9,0.0
s1_3_9,2.2715163083830703e-13
s1_3_9,0.1774741777880311
s1_3_9,1.9370116621786337e-10
s1_3_9,1.7707654964560504e-07
s1_3_9,0.010462806222982124
s1_3_9,1.4767742584353982e-11
s1_3_9,0.002406821709853846
s1_3_9,8.960918207456814e-08
s1_3_9,0.0013120562747612752
s1_3_9,0.19021076779574608
s1_3_9,0.0032438919458834814
s1_3_9,8.623701814647333e-06
s1_3_9,0.01571967420888598
s1_3_9,5.023115428048897e-07
s1_3_9,0.0017303422931959078
s1_3_9,2.942924419713222e-07
s1_3_9,1.0207057421496302e-11
s1_3_9,2.5103463752174093e-10
s1_3_9,1.4141774105413951e-05
s1_3_9,0.026072364522941927
s1_3_9,1.721093267903484e-10
s1_3_9,1.5503496366919833e-05
s1_3_9,1.993869069849552e-09
s1_3_9,2.7911006839076435e-13
s1_3_9,3.102743040273026e-08
s1_3_9,2.4951896104852267e-10
s1_3_9,2.1033419450589008e-10
s1_3_9,5.417888360170764e-14
s1_3_9,1.9208257207026236e-10
s1_3_9,5.775502575966485e-06
s1_3_9,0.0038947531543770397
s1_3_9,2.072777127715142e-08
s1_3_9,1.6278498549127107e-09
s1_3_9,2.8258906326072974e-09
s1_3_9,3.0438028764123715e-08
s1_3_9,0.025825182208173647
s1_3_9,7.06740690248342e-06
s1_3_9,0.00718992247189898
s1_3_9,1.282496331356242e-10
s1_3_9,0.00970345259114469
s1_3_9,7.585462058112835e-05
s1_3_9,5.103114597559966e-10
s1_3_9,0.013604516521536603
s1_3_9,1.2047141062510036e-10
s1_3_9,0.001057994888503
s1_3_9,8.686469325547286e-05
s1_3_9,1.2434497875801753e-14
s1_3_9,0.007828275863152157
s1_3_9,5.170238815521699e-06
s1_3_9,2.0347232787543135e-09
s1_3_9,5.70492618368057e-05
s1_3_9,1.60298324614061e-08
s1_3_9,1.8466106910253188e-07
s1_3_9,0.15525291183145218
s1_3_9,1.593651877129787e-10
s1_3_9,0.002351371908342559
s1_3_9,0.0
s1_3_9,0.028399844579361067
s1_3_9,0.008891440153735775
s1_3_9,0.0019518742337267803
s1_3_9,0.010163698578959823
s1_3_9,0.006136780655234486
s1_3_9,0.005859067842131416
s1_3_9,1.3964859046922129e-08
s1_3_9,0.012348473598181808
s1_3_9,5.887434648688128e-07
s1_3_9,1.3385954567013414e-09
s1_3_9,0.010985576842343248
s1_3_9,0.017958491756510542
s1_3_9,5.76008275107176e-05
s1_3_9,3.0014202234696086e-10
s1_3_9,6.8833827526759706e-15
s1_3_9,1.235107127683932e-09
s1_3_9,0.1976476391526759
s1_3_9,6.020304255116571e-10
s1_3_9,8.36364977274684e-08
s1_3_9,0.0
s1_3_9,1.4969307670642529e-05
s1_3_9,5.6425549788130525e-09
s1_3_9,0.10758504939267444
s1_3_9,4.437745659879866e-05
s1_3_9,1.5063201042164742e-05
s1_3_9,2.4331836545599117e-10
s1_3_9,0.15396813098305784
s1_3_9,0.010511595718172173
s1_3_9,0.0012513320119590388
s1_3_9,0.0041531000823458175
s1_3_9,2.220446049250313e-16
s1_3_9,0.013566292546846936
s1_3_9,0.02834466945669456
s1_3_9,1.9968997588826198e-07
s1_3_9,9.928602384690066e-11
s1_3_9,1.0499028313404324e-09
s1_3_9,3.465070232300249e-06
s1_3_9,0.4581184648136075
s1_3_9,0.0014551005383743876
s1_3_9,0.02399396017051658
s1_3_9,0.009535183893804589
s1_3_9,4.990674540295004e-11
s1_3_9,2.951358347391686e-05
s1_3_9,0.00033222044593306244
s1_3_9,2.927623226067766e-07
