metric,n_flagged,pct_flagged,q1,median,q3,raw_iqr,std_times_1p35,widened,cutoff_lo,cutoff_hi,data_min,data_max,is_constant_by_construction
weight_outliers,1061,7.073333333333333,0.0,0.0,0.028242229187875684,0.028242229187875684,0.08663289954571878,True,-0.12994934931857816,0.15819157850645385,0.0,0.4881417750380741,False
weight_outliers_uw,1057,7.046666666666667,0.0,0.0,0.022061359026369173,0.022061359026369173,0.07513341259397677,True,-0.11270011889096515,0.13476147791733434,0.0,0.41666666666666663,False
n,824,5.493333333333333,16.0,64.0,257.0,241.0,328.1432535138748,True,-476.2148802708122,749.2148802708123,4.0,1000.0,False
mode_count_est,709,4.726666666666667,1.0,1.0212518579352399,1.1729748325079432,0.1729748325079432,0.2402491590592127,True,0.639626261411181,1.5333485710967623,1.0,1.9557123594985606,False
mean,676,4.506666666666667,0.9775792597201786,0.9999261315934194,1.0218291392150198,0.04424987949484127,0.13264637562192594,True,0.7786096962872897,1.2207987026479088,0.1019638990721386,2.2111930258145382,False
w_v_uw_wasserstein,613,4.086666666666667,0.015919025123660595,0.03500283668181445,0.07641889710156027,0.060499871977899675,0.11499080171365023,True,-0.15656717744681475,0.2489050996720356,0.0003817522202128784,1.2112079487819993,False
mode_count_est_uw,483,3.22,1.0,1.0488182604043783,1.2564447588581942,0.2564447588581942,0.27931535012093733,True,0.581026974818594,1.6754177840396003,1.0,2.268744823604317,False
skewness,378,2.52,-0.3470901968469655,0.22541489891793187,0.8465773509486177,1.1936675477955832,1.7731311784432797,True,-3.006786964511885,3.506274118613537,-10.58651663518836,23.631172865310248,False
fit_lognorm_SW,374,2.493333333333333,0.792373413034604,0.8688655882044896,0.9316482280939925,0.13927481505938855,0.15603590037056897,True,0.5583195624787505,1.165702078649846,0.053762260631142644,0.9991849786888871,False
skewness_uw,299,1.9933333333333334,-0.2920897500017908,0.22693577494462325,0.7946781040868584,1.0867678540886492,1.4947477055436933,True,-2.5342113083173308,3.0367996624023985,-11.37057704702101,13.690595985985556,False
coeffvar,294,1.96,0.16835785364556669,0.3481419879487867,0.5909652376468713,0.4226073840013046,0.43581690572874976,True,-0.485367504947558,1.244690596239996,0.0019256309573623238,3.61506526610173,False
fit_lognorm_SW_uw,291,1.94,0.7979739270447987,0.8693655365513551,0.9361066962504492,0.13813276920565043,0.149550259309633,True,0.5736485380803492,1.1604320852148986,0.05923231354407277,0.9976421189032644,False
coeffvar_uw,260,1.7333333333333334,0.1762165231231112,0.3590100425330959,0.5982314368438085,0.4220149137206973,0.42391714268272424,True,-0.4596591909009752,1.234107150867895,0.0017565394215144296,3.1826871003159325,False
fit_norm_SW,250,1.6666666666666667,0.7850391923590923,0.8632803323030269,0.9282310866166055,0.14319189425751322,0.14227490513651547,False,0.5702513509728224,1.1430189280028753,0.12143716687654402,0.9995554425100264,False
kurtosis_uw,219,1.46,-1.3809051411583553,-0.5217144366401016,0.914365592581267,2.2952707337396223,10.972631560872424,True,-17.83985248246699,17.373312933889903,-5.9940904371890635,227.85035128022807,False
kurtosis,143,0.9533333333333334,-1.325739509252958,-0.4634072318609796,1.2311503513184403,2.556889860571398,27.711073256458135,True,-42.89234939394016,42.797760236005644,-5.970506484438344,1422.1450214521221,False
fit_norm_SW_uw,122,0.8133333333333334,0.7888478386219255,0.863447753595888,0.9306599413819164,0.1418121027599909,0.13218483622419513,False,0.5761296844819392,1.1433780955219028,0.17436819418948857,0.998291791146421,False
mean_uw,14,0.09333333333333334,0.9999999999999999,1.0,1.0000000000000002,3.3306690738754696e-16,3.0108622078683843e-16,False,0.9999999999999993,1.0000000000000007,0.9999999999999991,1.0000000000000009,False
entropy_uw,0,0.0,2.639057329615259,3.641281070563555,4.352737640027595,1.713680310412336,1.3954909712400994,False,0.06853686399675496,6.923258105646099,0.5623351446188264,5.235550570912824,False
entropy,0,0.0,2.292074372740589,3.3603879664519427,4.156157671416308,1.8640832986757188,1.4861875920396899,False,-0.5040505752729891,6.9522826194298855,0.3892393574859072,5.1174753187741135,False
