rule,metric,n_datasets,min,p05,median,p95,max,sd,mean_abs_shift_vs_none,shift_in_sd_units
none,n,133,3.0,8.600000000000001,104.0,1312.5999999999958,138252.0,12041.983343270285,0.0,0.0
none,coeffvar,133,0.2409798970171448,0.4641730863235785,2.1687041154144033,17.844416294366475,82.46266919430794,9.882673371861042,0.0,0.0
none,entropy,133,0.004128114329521974,0.02032633443531646,1.9862738646946658,3.5251741695262617,4.108427741512214,1.1948762997456954,0.0,0.0
none,skewness,133,-0.8875075937103458,0.25339781983074716,6.337143229023703,31.38930785404301,333.945684619462,32.017689253195975,0.0,0.0
none,kurtosis,133,-2.449134182304655,-0.5709780776396413,45.18480367249751,1053.0691564499812,127908.10525129222,11257.986959830107,0.0,0.0
none,mode_count_est,133,1.0,1.0,1.0100017441361457,1.072002261328596,1.1810781126735108,0.024997450038222017,0.0,0.0
none,weight_outliers,133,0.0,0.0,0.06274600410907541,0.19522522849396898,0.3557657864897935,0.06513335253947164,0.0,0.0
none,fit_norm_SW,133,0.0010900649000686257,0.02041159830870301,0.277687667156879,0.9362332467073706,0.9788199993552205,0.3269958173563477,0.0,0.0
none,fit_lognorm_SW,133,0.2621542756781835,0.4651034863164811,0.796485301810853,0.9558252161152465,0.9693512568372783,0.1551352646845557,0.0,0.0
none,w_v_uw_wasserstein,133,0.013755810312923984,0.03959648199041928,0.1902474237061525,0.7204885044221511,1.224044876196709,0.24721527485567846,0.0,0.0
shipped_additive_3iqr,n,133,3.0,8.0,99.0,1206.5999999999958,137179.0,11947.419786330809,22.721804511278197,0.0018868822405385883
shipped_additive_3iqr,coeffvar,133,0.10720030057060499,0.2601483035213213,0.5934775230531137,1.1403288618733287,1.8101704377380257,0.2856071775246138,4.801004402946023,0.48580016988277014
shipped_additive_3iqr,entropy,133,1.0918055104992779,1.6632407949540822,3.6491199728265786,4.710493978051027,4.8563576034256455,0.940098933492001,1.6937190943554352,1.417484885017728
shipped_additive_3iqr,skewness,133,-2.3952319668318096,-0.7975515438466994,1.0311333154404287,2.039622068921633,2.9122229439264733,0.9395457097220777,11.856036955061377,0.3702964589762804
shipped_additive_3iqr,kurtosis,133,-2.225835485827477,-0.8147969856339835,1.5271233770272483,6.5512737995176025,9.416623555185929,2.2497286063412276,1339.3794751005432,0.11897148929729758
shipped_additive_3iqr,mode_count_est,133,1.0,1.0,1.0019568728461596,1.1128873470301064,1.2651715702764768,0.04621659544463337,0.024592028043212973,0.9837814659339598
shipped_additive_3iqr,weight_outliers,133,0.0,0.0,0.04336529171141865,0.1773513291162692,0.39934614720845446,0.06276755550346619,0.0506580078540139,0.7777583354597708
shipped_additive_3iqr,fit_norm_SW,133,0.5669363849220791,0.6918379942153094,0.8863400145086062,0.9720536613106794,0.9933310236284605,0.08688404598560956,0.4866617187217384,1.4882811733074641
shipped_additive_3iqr,fit_lognorm_SW,133,0.28192623682287454,0.48644867689109517,0.8268612414114024,0.9639822656949171,0.9924734760570565,0.15500280302518904,0.09368463955736109,0.6038900294388562
shipped_additive_3iqr,w_v_uw_wasserstein,133,0.0013361004727751754,0.010612403355504885,0.0661059357642466,0.28076014255200077,0.4525502017093957,0.08473208412876218,0.21898565399698933,0.8858095606140467
additive_1.5iqr,n,133,3.0,7.6000000000000005,97.0,1176.9999999999955,135007.0,11754.316370038443,52.96992481203007,0.004398770808932612
additive_1.5iqr,coeffvar,133,0.0687069357249415,0.18663589308482842,0.5573743681439514,0.9884227210565969,1.9926165679582464,0.3033679794299462,4.871378315057306,0.49292110866757893
additive_1.5iqr,entropy,133,0.7968527927924153,1.588113174788191,3.691756860996794,4.921137801893246,5.227926507797266,1.0448141241221254,1.7758096367570522,1.486187011270536
additive_1.5iqr,skewness,133,-1.6304937950930227,-0.5342683430919399,0.5929606485524489,1.630856227063534,3.823318912748242,0.7429689082020745,12.192230052665973,0.3807966888631401
additive_1.5iqr,kurtosis,133,-4.508920345933832,-1.431332970914647,0.06003633402826675,2.4750001506452977,27.68307606710712,2.763808997942287,1340.744392138752,0.11909272918175284
additive_1.5iqr,mode_count_est,133,1.0,1.0,1.0,1.1294969887591622,1.3469001789090298,0.05688889104861092,0.029857476937511476,1.1944209066068059
additive_1.5iqr,weight_outliers,133,0.0,0.0,0.008555270416637636,0.17790474670439274,0.40473540625216675,0.06412186455069287,0.06299382756859366,0.9671516222110416
additive_1.5iqr,fit_norm_SW,133,0.5583848171383944,0.7563933218552751,0.9253058906069248,0.9845718766520186,0.9954086488034573,0.07648181358665845,0.5196781685431662,1.5892502012551448
additive_1.5iqr,fit_lognorm_SW,133,0.36820084454445895,0.5628468405707588,0.8463663702856441,0.9806137874579565,0.9907668488567117,0.13973897416187012,0.11131773205724274,0.717552725897562
additive_1.5iqr,w_v_uw_wasserstein,133,0.0007394411150785583,0.009781054268570004,0.05935084140984327,0.23469361939322317,0.5423614644528763,0.08564956803497153,0.22794256399145263,0.9220407765034866
multiplicative_log_3iqr,n,133,3.0,8.0,102.0,1192.1999999999957,137615.0,11985.213651849259,15.984962406015038,0.0013274360170036528
multiplicative_log_3iqr,coeffvar,133,0.10091816132862927,0.2269299284209718,0.7857838869647441,3.495277380688641,10.073219810512366,1.2372008921626585,4.340966119569917,0.43925018628359813
multiplicative_log_3iqr,entropy,133,0.12634297590206686,1.4858388126852822,3.0431524494884594,4.248775668172727,4.652834561554073,0.8671491265144671,1.2763072797867054,1.068150134083621
multiplicative_log_3iqr,skewness,133,-1.0183146010247028,0.04611636670125595,2.448331406560244,8.888774700006184,15.79660676063141,3.1352469326987693,10.023069842973841,0.3130478831158419
multiplicative_log_3iqr,kurtosis,133,-2.5898418085812,-0.6309205196638135,9.065654387283516,87.10507297047205,292.77054049317206,47.99334525487356,1323.49563930864,0.11756059445005901
multiplicative_log_3iqr,mode_count_est,133,1.0,1.0,1.0139172484023327,1.076566196055943,1.1719247582709469,0.028221325793848277,0.01997946326467292,0.7992600538904403
multiplicative_log_3iqr,weight_outliers,133,0.0,0.0,0.0608295899229009,0.18889865978945777,0.4524467236675445,0.06606023276797954,0.04277066271520062,0.656663000561518
multiplicative_log_3iqr,fit_norm_SW,133,0.06949460180274446,0.22165239127796627,0.7309471840138625,0.9521815401919869,0.9782922313424555,0.24118723567071565,0.3039275726264721,0.9294540067320288
multiplicative_log_3iqr,fit_lognorm_SW,133,0.7015587017233113,0.7574161672362768,0.9341766555688028,0.9800354279270113,0.9955626725183961,0.06634146228154568,0.16508312126451483,1.0641237606432463
multiplicative_log_3iqr,w_v_uw_wasserstein,133,0.0014518681195990445,0.016878173486375582,0.07988250100155556,0.5226484431562107,0.6775683815980597,0.14709413391746062,0.20545525464524314,0.8310783173296458
multiplicative_log_1.5iqr,n,133,3.0,8.0,96.0,1111.999999999996,134335.0,11698.271843786299,55.69924812030075,0.00462542145529777
multiplicative_log_1.5iqr,coeffvar,133,0.11123113583086686,0.18840513001864254,0.6465728626543151,1.358082665217253,2.6693225568285066,0.464430776308367,4.756394849419868,0.48128625428042193
multiplicative_log_1.5iqr,entropy,133,0.7522690501905489,1.6693572628910411,3.618974751480359,4.66452891854649,5.144105465789345,0.9615168762629593,1.60697415847278,1.344887465601913
multiplicative_log_1.5iqr,skewness,133,-1.646085614247242,-0.053645845586173274,1.3639284762919166,3.9538321200707016,12.29270666544486,1.6786259295970665,11.406250147293274,0.35624838685554777
multiplicative_log_1.5iqr,kurtosis,133,-2.208849086346326,-1.1401311428250112,2.42257178761057,19.328730069766245,183.75190700091323,19.148745479815624,1346.965262358725,0.11964530312256216
multiplicative_log_1.5iqr,mode_count_est,133,1.0,1.0,1.0093875527908138,1.0958903615220372,1.387913792596273,0.05844634273752138,0.02886128249452525,1.1545690640603459
multiplicative_log_1.5iqr,weight_outliers,133,0.0,0.0,0.0408010460788575,0.17308119976417466,0.3980185804031565,0.06625134316313032,0.053134189201884556,0.8157754380858034
multiplicative_log_1.5iqr,fit_norm_SW,133,0.24622749233179891,0.5412163060114333,0.855362693139246,0.9770003567512365,0.9881650439146508,0.1452706748412701,0.4432770404428018,1.3556046191249451
multiplicative_log_1.5iqr,fit_lognorm_SW,133,0.5519894600178805,0.7994995583059451,0.9517006604118429,0.9912062527846744,0.9983906294522794,0.06995499759168414,0.17908852699825223,1.1544024330148395
multiplicative_log_1.5iqr,w_v_uw_wasserstein,133,0.0005730437505601611,0.010949500275692093,0.06220526938173185,0.22249834352606573,0.5346769555901619,0.08081239872681592,0.21883305722408863,0.8851922978943795
hi_only_3iqr,n,133,3.0,8.0,99.0,1206.5999999999958,137179.0,11947.479467819616,22.601503759398497,0.001876892129404036
hi_only_3iqr,coeffvar,133,0.14125741743989928,0.2575135745884029,0.6206708596670399,1.122369586553861,1.8101704377380257,0.284576546906505,4.791466292761755,0.48483503526530664
hi_only_3iqr,entropy,133,1.0734229670211648,1.6608627759627106,3.667454239473784,4.6975676848244365,4.856054198752364,0.9360488207285855,1.7002654690915238,1.422963589999559
hi_only_3iqr,skewness,133,-3.275532321530267,-0.6561756106921126,0.987697794710576,1.9326831497067436,3.480024208896606,0.9437705652912319,11.87789212586458,0.3709790557317918
hi_only_3iqr,kurtosis,133,-2.23908862628638,-1.2045523294458553,1.5851448473073537,6.889385232094673,21.647196084523042,3.1256839847881435,1339.390730691512,0.1189724890844717
hi_only_3iqr,mode_count_est,133,1.0,1.0,1.0048940449828385,1.0936942148152613,1.2530769063205272,0.04287987273900245,0.025867769901697518,1.0348163457530568
hi_only_3iqr,weight_outliers,133,0.0,0.0,0.03748446326649364,0.16879487315865474,0.34452575094564175,0.06045190987443185,0.04645248237107176,0.7131904095205442
hi_only_3iqr,fit_norm_SW,133,0.4822160124336716,0.7133092587856846,0.8911477340233245,0.9761820401555115,0.9945897681779794,0.08691946151945551,0.48740684599875034,1.4905598791424073
hi_only_3iqr,fit_lognorm_SW,133,0.3733124889656415,0.47766788271242344,0.8115618815426828,0.9651758092239013,0.9901425135302551,0.16046645793741185,0.084498184899044,0.5446742561780417
hi_only_3iqr,w_v_uw_wasserstein,133,0.0006638955474477947,0.011780395340825622,0.06383933581758969,0.3054436757107352,0.5900189718982856,0.11001100537329621,0.2131338081630452,0.8621385077741266
