config,mean_w1_unweighted,weighted_objective,mode_tv,unimodal_empirical,unimodal_synthetic,worst_metric,worst_w1,coeffvar_w1,skewness_w1,crit_bw_1_w1,n_datasets
current default,0.5008901176230622,0.5086953009858101,0.39917986425339363,0.49264705882352944,0.8918269230769231,fit_lognorm_SW,0.9333420678806914,0.39081423475829297,0.6774462309844985,0.7023954622311372,440
C baseline,0.5293760816256677,0.42613901061425785,0.08788007956805907,0.49264705882352944,0.49516908212560384,fit_lognorm_SW,1.8283497882898794,0.26537479075179937,0.5397342567753872,0.48539192335890885,440
F C + comp_skew to 14,0.5525009961846173,0.45105365819028853,0.1092180774748924,0.49264705882352944,0.47317073170731705,fit_lognorm_SW,1.7970287887977392,0.3135129991218563,0.6311260636703332,0.48941654966984394,433
G C + overlap hi 0.6,0.5431689381298124,0.4376786424204648,0.1264208581983518,0.49264705882352944,0.4227053140096618,fit_lognorm_SW,1.9927439478135966,0.25191265941622965,0.5217077461521197,0.4663205531023841,440
H C + position_skew 8,0.5740084219168161,0.4631765344295088,0.1120324016131275,0.49264705882352944,0.4940898345153664,fit_lognorm_SW,2.1261335820764358,0.2677586656923849,0.5746047118735435,0.5254726795633622,440
I C + skew14 + ovhi 0.6,0.5933480223360887,0.47724447774753537,0.11456241032998563,0.49264705882352944,0.40487804878048783,fit_lognorm_SW,2.1922740624765176,0.30418768034568994,0.6547132410008492,0.507121757091374,435
