metric,syn_p05,syn_median,syn_p95,syn_min,syn_max,emp_p05,emp_median,emp_p95,emp_min,emp_max,centre_offset,covers_low,covers_high,emp_inside_syn,config
coeffvar,0.016792588456305702,0.1026009649150894,0.5249239512124974,0.00028995452521775295,1.258193693899233,0.21013405002282634,0.6000139780122478,1.2727749495924832,0.0114531214117646,2.083216027890099,-0.7670099227527147,True,False,0.9420289855072463,A_default [23s]
skewness,-2.5857473869104464,0.4109191260027817,3.369419217312503,-6.233781794343234,21.005488470569265,-0.6437074428565391,1.0545746113065966,2.546645609722645,-1.4387884904137105,4.618369371938145,-0.6315389490966775,True,True,1.0,A_default [23s]
kurtosis,-1.918223629747188,0.20431329723050975,21.171319097639067,-5.101295709113359,665.3716662592697,-2.6532966453932705,1.1597391304634013,8.14151117654211,-5.451264418495393,62.72647421181683,-0.31136763099541565,False,True,0.9849624060150376,A_default [23s]
entropy,0.7454350350816048,2.8273281040950393,4.789453326651558,0.07033790905081785,5.278822353948108,1.0670412225080113,2.93743741549295,4.693680313612185,0.7888316577374002,4.94007996701527,-0.016592412216619973,True,True,1.0,A_default [23s]
crit_bw_1,0.288278208823123,0.6209156301744769,0.9411354525839369,0.15347151980196785,1.2764207021737564,0.3246615064316289,0.5741267619708137,0.9245862222250147,0.1267706156149569,1.142822796244428,0.034024801124906176,False,True,0.9927536231884058,A_default [23s]
weight_outliers,0.0,0.0,0.22026542991611625,0.0,0.446580255758111,0.0,0.028318869694774748,0.1967863872758554,0.0,0.3858740614230005,-0.44851528513518335,True,True,1.0,A_default [23s]
fit_norm_SW,0.5599710078086905,0.8167057413991777,0.9824186900405084,0.3595700011254573,0.9997585453804619,0.6541812289675595,0.8866719462086603,0.980931732256728,0.4909871546058369,0.999869024645626,-0.5748427913617127,True,False,0.9927536231884058,A_default [23s]
fit_lognorm_SW,0.5562310142858394,0.8257295609025679,0.98689319725211,0.3665492039011224,0.9999981829115485,0.7863572066800667,0.9368498103190028,0.9894404445175178,0.6054895931856905,0.9997888659182496,-1.4474991329081837,True,True,1.0,A_default [23s]
w_v_uw_wasserstein,0.004013170043667247,0.03709020283198326,0.2081244310483261,0.00039392582505850946,0.42918584285778005,0.01726065616654183,0.0969347008618037,0.32149294694970415,0.0009417437143457,0.8767953389504549,-0.4172200660955604,True,False,0.9637681159420289,A_default [23s]
coeffvar,0.0026614780154935536,0.03172510117801161,0.33654661665214747,0.00028995452521775295,1.2034572174724185,0.21013405002282634,0.6000139780122478,1.2727749495924832,0.0114531214117646,2.083216027890099,-1.2767583520631585,True,False,0.9420289855072463,B_floor_to_0.99 [23s]
skewness,-2.5857473869106076,0.4109191260027693,3.3694192173125015,-6.233781794343291,21.005488470569126,-0.6437074428565391,1.0545746113065966,2.546645609722645,-1.4387884904137105,4.618369371938145,-0.6315389490966896,True,True,1.0,B_floor_to_0.99 [23s]
kurtosis,-1.9182236297471877,0.20431329723051267,21.171319097639103,-5.101295709113356,665.3716662592715,-2.6532966453932705,1.1597391304634013,8.14151117654211,-5.451264418495393,62.72647421181683,-0.3113676309954147,False,True,0.9849624060150376,B_floor_to_0.99 [23s]
entropy,0.7454350350816644,2.827328104095061,4.789453326651559,0.07033790905085534,5.278822353948101,1.0670412225080113,2.93743741549295,4.693680313612185,0.7888316577374002,4.94007996701527,-0.016592412216616618,True,True,1.0,B_floor_to_0.99 [23s]
crit_bw_1,0.28827820882312305,0.6209156301744769,0.9411354525839372,0.15347151980196788,1.2764207021737564,0.3246615064316289,0.5741267619708137,0.9245862222250147,0.1267706156149569,1.142822796244428,0.034024801124906176,False,True,0.9927536231884058,B_floor_to_0.99 [23s]
weight_outliers,0.0,0.0,0.22026542991611625,0.0,0.446580255758111,0.0,0.028318869694774748,0.1967863872758554,0.0,0.3858740614230005,-0.44851528513518335,True,True,1.0,B_floor_to_0.99 [23s]
fit_norm_SW,0.5599710078086909,0.8167057413991765,0.9824186900405075,0.359570001125457,0.999758545380462,0.6541812289675595,0.8866719462086603,0.980931732256728,0.4909871546058369,0.999869024645626,-0.5748427913617227,True,False,0.9927536231884058,B_floor_to_0.99 [23s]
fit_lognorm_SW,0.5601051989706074,0.8236745399122909,0.9851080989180013,0.3610903780075875,0.9997959415660257,0.7863572066800667,0.9368498103190028,0.9894404445175178,0.6054895931856905,0.9997888659182496,-1.474268701165597,True,True,1.0,B_floor_to_0.99 [23s]
w_v_uw_wasserstein,0.0005924784394802545,0.011143358325852865,0.11661668083542902,7.703974127618646e-05,0.41240721908015926,0.01726065616654183,0.0969347008618037,0.32149294694970415,0.0009417437143457,0.8767953389504549,-0.9394631785020426,True,False,0.9637681159420289,B_floor_to_0.99 [23s]
coeffvar,0.021413510346771386,0.13098287894318172,0.5339675784531074,0.0012615645855175693,0.9324048798007047,0.21013405002282634,0.6000139780122478,1.2727749495924832,0.0114531214117646,2.083216027890099,-0.6609468360986257,True,False,0.8115942028985508,C_skew_right_biased [25s]
skewness,-2.608025040418259,0.3258826987339052,2.5211222596498755,-16.667980576823698,11.115711106182768,-0.6437074428565391,1.0545746113065966,2.546645609722645,-1.4387884904137105,4.618369371938145,-0.714974602390261,True,True,1.0,C_skew_right_biased [25s]
kurtosis,-2.1090182177730905,0.2987475470822489,17.460487381138073,-5.84089847337729,524.1504958090275,-2.6532966453932705,1.1597391304634013,8.14151117654211,-5.451264418495393,62.72647421181683,-0.28059206722227464,True,True,1.0,C_skew_right_biased [25s]
entropy,0.7473659757186166,3.0233309763412626,4.801651580513719,0.1810014838869609,5.092001983953983,1.0670412225080113,2.93743741549295,4.693680313612185,0.7888316577374002,4.94007996701527,0.012517071384961477,True,True,1.0,C_skew_right_biased [25s]
crit_bw_1,0.2801013117314563,0.6146169584870558,1.0107591290619315,0.17763487343750245,1.3529678539317684,0.3246615064316289,0.5741267619708137,0.9245862222250147,0.1267706156149569,1.142822796244428,0.02959674786255197,False,True,0.9927536231884058,C_skew_right_biased [25s]
weight_outliers,0.0,0.0,0.23005215439777918,0.0,0.4138014741406303,0.0,0.028318869694774748,0.1967863872758554,0.0,0.3858740614230005,-0.44851528513518335,True,True,1.0,C_skew_right_biased [25s]
fit_norm_SW,0.5336638315454916,0.8442772296971526,0.9690076602154418,0.3346789185946726,0.9993226731662104,0.6541812289675595,0.8866719462086603,0.980931732256728,0.4909871546058369,0.999869024645626,-0.34831526513155486,True,False,0.9927536231884058,C_skew_right_biased [25s]
fit_lognorm_SW,0.5332406283278273,0.8501360665172145,0.9784445747467775,0.30666869907445815,0.9996242715306338,0.7863572066800667,0.9368498103190028,0.9894404445175178,0.6054895931856905,0.9997888659182496,-1.1295697195019663,True,False,0.9927536231884058,C_skew_right_biased [25s]
w_v_uw_wasserstein,0.004538610883833661,0.04188147285475752,0.2322384425349377,0.0008540204314658867,0.6317751583233443,0.01726065616654183,0.0969347008618037,0.32149294694970415,0.0009417437143457,0.8767953389504549,-0.36445732821657073,True,False,0.9855072463768116,C_skew_right_biased [25s]
coeffvar,0.0032896585538376016,0.04307588248179478,0.3609230843792276,0.00019686385081549017,0.7830294415655289,0.21013405002282634,0.6000139780122478,1.2727749495924832,0.0114531214117646,2.083216027890099,-1.1439271844254113,True,False,0.7318840579710145,D_both [25s]
skewness,-2.608025040418277,0.3258826987339035,2.521122259649869,-16.667980576823666,11.115711106182731,-0.6437074428565391,1.0545746113065966,2.546645609722645,-1.4387884904137105,4.618369371938145,-0.7149746023902627,True,True,1.0,D_both [25s]
kurtosis,-2.1090182177730896,0.29874754708224754,17.460487381137852,-5.84089847337729,524.1504958090262,-2.6532966453932705,1.1597391304634013,8.14151117654211,-5.451264418495393,62.72647421181683,-0.2805920672222751,True,True,1.0,D_both [25s]
entropy,0.7473659757186242,3.0233309763412732,4.801651580513721,0.18100148388694873,5.092001983953978,1.0670412225080113,2.93743741549295,4.693680313612185,0.7888316577374002,4.94007996701527,0.012517071384962978,True,True,1.0,D_both [25s]
crit_bw_1,0.28010131173145636,0.614616958487056,1.0107591290619322,0.1776348734375025,1.3529678539317682,0.3246615064316289,0.5741267619708137,0.9245862222250147,0.1267706156149569,1.142822796244428,0.02959674786255206,False,True,0.9927536231884058,D_both [25s]
weight_outliers,0.0,0.0,0.23005215439777918,0.0,0.4138014741406303,0.0,0.028318869694774748,0.1967863872758554,0.0,0.3858740614230005,-0.44851528513518335,True,True,1.0,D_both [25s]
fit_norm_SW,0.5336638315454916,0.8442772296971526,0.9690076602154412,0.3346789185946744,0.9993226731662104,0.6541812289675595,0.8866719462086603,0.980931732256728,0.4909871546058369,0.999869024645626,-0.34831526513155486,True,False,0.9927536231884058,D_both [25s]
fit_lognorm_SW,0.5304354409579838,0.8504653612208863,0.9788530920063397,0.32878842775756545,0.9994799499260701,0.7863572066800667,0.9368498103190028,0.9894404445175178,0.6054895931856905,0.9997888659182496,-1.1252801881110683,True,False,0.9927536231884058,D_both [25s]
w_v_uw_wasserstein,0.0008536727192778329,0.013369753802077146,0.1567702586328953,0.0002752802295180747,0.4271812205310838,0.01726065616654183,0.0969347008618037,0.32149294694970415,0.0009417437143457,0.8767953389504549,-0.8603558644186561,True,False,0.9637681159420289,D_both [25s]
