metric,removed_mean,kept_mean,removed_median,kept_median,removed_p95,kept_p95,std_diff
fit_norm_SW,0.7775925219239399,0.872687460910079,0.7905111438091241,0.8847945854125308,0.9562942540320392,0.9815506577115211,-0.8920493352428518
fit_norm_SW_uw,0.7915481237183968,0.8753792835700244,0.7966107167108732,0.8847140231594562,0.9605147674187584,0.9840987809139851,-0.8649225393774345
weight_outliers,0.07551663032837921,0.014598903162229629,0.013086435826893353,0.0,0.252395003196862,0.08717643036779824,0.8305989370181985
weight_outliers_uw,0.0625257922973679,0.012634472979724408,0.004944375772558714,0.0,0.25,0.07142857142857142,0.7717327666202363
fit_lognorm_SW,0.7915498795053874,0.8692456583826226,0.8262302461909921,0.8843456713669977,0.9685825068375102,0.9813023023347072,-0.6184332449747807
fit_lognorm_SW_uw,0.8050205849021085,0.8719598696659285,0.8339425507917103,0.8841443092139756,0.9699692231395134,0.9828973798189822,-0.557927853796827
w_v_uw_wasserstein,0.10391097591844313,0.049352045537868185,0.04312937281539373,0.033002824463183145,0.3908334051639377,0.15223403418541212,0.5369177439794277
coeffvar_uw,0.5498115056913563,0.3746239195684225,0.47385139998810943,0.32711998275433707,1.2819608393150346,0.884889562104964,0.5242660250103546
n,284.7545388525781,144.24436470696477,82.0,62.0,931.0,568.6000000000004,0.5164087932008258
coeffvar,0.5392869257370404,0.37156435931326054,0.43651297859691,0.3213545896467025,1.3383847342600115,0.8897399729768192,0.4809441711433026
mode_count_est,1.182498294179733,1.091304792981463,1.0424389581756968,1.0137063105507738,1.6956619961893318,1.4005953824447075,0.45768264476984866
mode_count_est_uw,1.2211486427998048,1.1304889874536141,1.089519462240937,1.0376196288534063,1.7781572917333333,1.496613579379359,0.4008585383025575
kurtosis_uw,3.2529358974198797,-0.08798334584687074,-0.037078088454486936,-0.6124330991628897,18.16405781313042,3.909601052889892,0.31532793590945835
kurtosis,7.067760307793688,0.09214516982826824,0.3305963781049641,-0.6425579860594067,32.62012478188964,4.833489504047057,0.2560901807083224
entropy_uw,3.2681455089260663,3.532119677142716,3.3578297382050795,3.7080940607395454,4.849327224251185,4.788842149590906,-0.24763097533757186
skewness_uw,0.4839233944800136,0.1981220821562528,0.4175917320927264,0.18001565378130904,2.921117505253631,1.5355228961945488,0.21877132561815613
skewness,0.5073000628251311,0.19030259407849057,0.4153826585903136,0.191571288797363,3.566194698754141,1.6192971168958683,0.19976992758629117
entropy,3.028868377067246,3.254809453183319,3.151849451283085,3.412196161622141,4.757006340844225,4.638414919818502,-0.19667261323270324
mean,1.0001287159618257,1.0001467539444162,0.9997489950017368,0.9999675800179119,1.2786188313534472,1.1001079875484516,-0.00014829864244570454
mean_uw,1.0,1.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0
