stratum,n,k,truncated_mass,normalizer,ks_uniform,ks_market,ess_market,ks_noise_floor,ks_floor_market
s1_3_9,3,2,0.015547630713575122,106.11965249295464,0.5274453577531917,0.6375387877903256,2.48396861379045,0.7851963660978911,0.8629107042504288
s1_3_9,6,5,8.702649711977983e-11,104.04606991060514,0.2664243451652352,0.2522210361459919,4.559276646524091,0.5552176750308538,0.6369288719398153
s1_3_9,3,3,0.17866489496199667,760.7504077861307,,,1.605724406702693,0.7851963660978911,1.0732561952214041
s1_3_9,5,1,0.04085926182151611,1.6389356011449845,0.25035092937395786,0.5503989179011881,3.0923629232228413,0.6082104898799429,0.7733813227571209
s1_3_9,4,3,0.2132443244785137,65.90166317515224,0.47232103658394586,0.5879657508007745,2.464188581995141,0.68,0.8663670724193958
s1_3_9,8,2,1.1843387222043589e-05,70.59237673082944,0.6183087173691091,0.3816400576974256,7.528818647280221,0.48083261120685233,0.4956504334832548
s1_3_9,4,5,6.579472624279603e-06,105.57164452948732,0.464137245538777,0.4191438996771799,2.881551757459195,0.68,0.8011718768348074
s1_3_9,5,5,2.987217140315579e-10,48.710176098204336,0.3787644079937752,0.26188339113894166,3.208800702017513,0.6082104898799429,0.759219818649402
s1_3_9,5,5,7.200762208725564e-11,88.97987329873385,0.283946278788397,0.5200804562601193,2.0061098048425636,0.6082104898799429,0.9601996826626858
s1_3_9,3,5,9.928224908861694e-11,84.69654703724012,0.3833432925517788,0.445947811609833,1.7362421297297839,0.7851963660978911,1.0321284833358313
s1_3_9,7,2,3.969458628461098e-08,126.29250772787928,0.2824295397582708,0.21313415982373973,5.095685091096877,0.514031683292549,0.602473040439522
s1_3_9,3,1,0.01434379258087437,112.35781466949011,0.33279846065975355,0.32561499376067404,1.8641723421663503,0.7851963660978911,0.9960838030101857
s1_3_9,3,3,0.0,260.1682760583229,0.5258842770865638,0.6743864018576836,1.9334197671026176,0.7851963660978911,0.9780832716304466
s1_3_9,5,4,2.76257714815209e-07,163.032034597573,0.4092106837810683,0.4804228197194493,3.8022209405487337,0.6082104898799429,0.6974614907024277
s1_3_9,7,4,3.3013591860253655e-12,21.702463621884053,0.23080185175253676,0.39814242597459254,2.8560378008631173,0.514031683292549,0.8047424905572012
s1_3_9,4,1,0.002688473749670184,34.60915503448892,0.2784049300566761,0.37750240918690403,2.9833621864213162,0.68,0.787382789766953
s1_3_9,5,4,1.196458043750681e-09,92.43283804345938,0.4633023423171861,0.39252432643307916,2.9609031611681695,0.6082104898799429,0.790363374021232
s1_3_9,3,1,0.016646164800692698,5.798623236247683,0.5659747999347489,0.7104257686452411,2.3992330380228326,0.7851963660978911,0.8780165291197993
s1_3_9,8,2,0.015113936291270225,13.220148052300537,0.2700954275854164,0.27554186909121337,4.754252199889931,0.48083261120685233,0.6237316762898916
s1_3_9,8,5,0.0003596702428212417,109.05812434661004,0.2684489252872333,0.4211730600095148,2.638378000220595,0.48083261120685233,0.8372793878343633
s1_3_9,8,2,0.000406174310248808,10.627914286262707,0.2508233578167063,0.38738654607162615,4.453542984254369,0.48083261120685233,0.6444453348831952
s1_3_9,3,1,0.008903613921076747,1.7106198071524072,0.5910142272609484,0.8190785626546262,2.3314953819868967,0.7851963660978911,0.8906798526050068
s1_3_9,3,4,0.0,475.6265351503544,0.48779690829780153,0.5410560685690217,1.6124161827107748,0.7851963660978911,1.0710267902980848
s1_3_9,4,5,2.2715163083830703e-13,81.11595595658719,0.6842356478457046,0.6003277510525771,3.6252981764684433,0.68,0.714277618701953
s1_3_9,7,4,0.1774741777880311,5.04951800709811,0.3510712238318564,0.47699996484205326,1.6037398566776753,0.514031683292549,1.07392004107091
s1_3_9,5,3,1.9370116621786337e-10,130.11290714915214,0.2523252715827694,0.3480827044720387,2.4149748810669363,0.6082104898799429,0.8751502061637405
s1_3_9,3,3,1.7707654964560504e-07,90.28017295333221,0.37036544973497126,0.647931347440132,1.5363281394296795,0.7851963660978911,1.0972280859270171
s1_3_9,6,3,0.010462806222982124,26.739539142059055,0.5536600782269557,0.6151954507823912,4.654400524112422,0.5552176750308538,0.6303866857800074
s1_3_9,4,5,1.4767742584353982e-11,102.34387917963267,0.2952143773904229,0.5745827394831164,2.7139609664894673,0.68,0.825538077772117
s1_3_9,5,4,0.002406821709853846,56.02140767809776,0.47587029153236227,0.6429239634116358,2.571070884713377,0.6082104898799429,0.8481679999697638
s1_3_9,5,2,8.960918207456814e-08,43.372623474168925,0.3659254014648571,0.3016480268945557,3.7719366738508286,0.6082104898799429,0.7002557956536718
s1_3_9,6,2,0.0013120562747612752,26.742124298426308,0.5419184579521349,0.772704416415316,3.493249914445716,0.5552176750308538,0.7276525905311755
s1_3_9,3,3,0.19021076779574608,155.98378888264912,0.2904566452971698,0.48845565288412895,2.314998420994123,0.7851963660978911,0.893847765501148
s1_3_9,3,3,0.0032438919458834814,66.70249023150994,0.5239020155262961,0.33750944896359153,1.9949543536352163,0.7851963660978911,0.9628805781518976
s1_3_9,4,2,8.623701814647333e-06,55.054367658532485,0.3842831689353865,0.42630708051793864,2.4077029257303324,0.68,0.8764708124290221
