metric,median__s1_3_9,median__s2_10_99,median__s3_100_999,median__s4_1000_9999,median_equal_allocation,median_post_stratified,median_empirical
coeffvar,0.04951991387708079,0.07669968898304232,0.08323922456676366,0.08073844143610637,0.07140965038926408,0.072272137218395,0.6000139780122478
entropy,1.107491768777391,2.4457303683941896,3.8263044798182806,4.063916771535787,2.876123729327125,2.534522201274352,2.9374374154929503
skewness,0.15468083742900254,0.1760271040877432,0.13692595387156978,0.17468894554815007,0.16344263406807352,0.16172956382312528,1.0545746113065966
kurtosis,0.9873750123056884,0.025671254616971756,0.5540875969252413,0.9198871180607338,0.5198858555908549,0.4032014378413653,1.1597391304634013
modality_index,1.0,1.0149521976279428,1.1172472808265679,1.2021331764877519,1.0171741339919236,1.0430406977256612,1.0
crit_bw_1,0.6958643726924831,0.6402946907928494,0.5833599437808834,0.5498331323378923,0.6242213961625707,0.6358531265243749,0.5741267619708137
weight_outliers,0.0,0.0,0.032214541994503444,0.0367695225958843,0.002398139926774193,0.00910166057516814,0.028318869694774804
fit_norm_SW,0.8736956266930537,0.8070458149409128,0.8186303478429388,0.8250698656923022,0.8320002056302696,0.8255754062098192,0.8866719462086603
fit_lognorm_SW,0.8744974681483988,0.8004058641475559,0.8046033179795724,0.8073372486629222,0.8215859825456924,0.8184351533669684,0.9368498103190026
w_v_uw_wasserstein,0.025390821718592867,0.031163376048531807,0.024378845556968037,0.01698396018431983,0.023856396820815064,0.027705450721737853,0.09693470086180375
