material,coeffvar,coeffvar_uw,crit_bw_1,crit_bw_1_uw,entropy,entropy_uw,fit_lognorm_SW,fit_lognorm_SW_uw,fit_norm_SW,fit_norm_SW_uw,kurtosis,kurtosis_uw,mean,mean_uw,modality_index,modality_index_uw,n,skewness,skewness_uw,w_v_uw_wasserstein,weight_outliers,weight_outliers_uw
AccessFlooring,0.7166120797150832,0.7973928575390324,0.5617393696908978,0.7274248494701964,3.3173315708386406,3.6726978358901863,0.8494116503658599,0.912889545161801,0.9408523678774999,0.8870817017132662,-0.42320177424830163,3.3764462370627895,1.0495831275216292,0.9999999999999999,1.0006204365334728,1.0280841516181272,53.0,0.5055559928364058,1.4611833411752164,0.12066643069036952,0.002196022764953359,0.018867924528301886
AccessFlooringPedestals,0.7455856917047092,0.6420544974645521,0.5598094957506264,0.4942698121611483,2.210414170851654,2.351673301904639,0.8917379209458604,0.9247448315443465,0.9666226237052599,0.9467795739712258,0.16625917979727137,0.49182272625335366,0.9680125954677462,1.0000000000000002,1.0,1.0,13.0,0.7530917292035287,0.7895028742751836,0.0803901182218877,0.0,0.0
AcousticalCeilings,1.7535974083137917,1.6591697013389641,1.7688590040861671,1.6255745426907335,3.1995322798062906,3.348246316654555,0.9533433053206312,0.9622585378473276,0.4489224569193863,0.5006358208247527,42.285215975721634,38.18153348513542,0.9312200364004626,1.0000000000000002,1.0093244332579738,1.008822288055942,412.0,5.74887852611989,5.27016477638714,0.09292574718589587,0.14054918359803203,0.145631067961165
Aggregates,7.107461973628843,6.424245552319687,3.9586608346334975,3.7717960864094997,1.1736410009855682,1.1402171587635999,0.9166235632163843,0.9221747183264277,0.08282164949145206,0.11340301242052908,296.0683305504247,246.7219645331271,0.8972473692360423,0.9999999999999997,1.0038614687354932,1.0084317317130513,384.0,16.950371739127736,14.922681553848603,0.23053359904467524,0.06818067608021712,0.11458333333333334
AluminiumBillets,0.9001384470221278,0.8656033349634747,0.8863996228865847,0.9840579270630823,3.864277586109131,4.126670474533679,0.972478099150505,0.9537935662538458,0.8123807792000486,0.822467890478628,5.668478652861983,8.613243147204013,1.0443500678418767,1.0,1.020427907769703,1.017329270759607,120.0,1.9909219075630311,2.236995624420989,0.06714912019288702,0.05091374499805163,0.03333333333333333
AluminiumExtrusions,0.8514955388435604,0.8177231796232496,1.0105467590552835,0.9452903412491029,2.930607142898502,3.260918854213801,0.9207403261318348,0.9519748627859773,0.6899197883377912,0.7183996529751426,6.812647729582318,7.180976195643482,1.0094852431480277,0.9999999999999999,1.0738932863107784,1.070504973760363,36.0,2.511320968056919,2.521743750247535,0.0800516398809498,0.06494546106111922,0.05555555555555555
AluminiumSheetGoods,0.8218833647220964,0.8322869541332962,0.38589195151699346,0.470608801393936,2.7651059946294607,2.971376539969033,0.9474251833827445,0.9510641296365299,0.8349972892712356,0.8443267531038592,0.7931281673288593,0.15362685049534813,0.9268196356467017,1.0,1.0,1.0,26.0,1.2091314879439061,1.0742523999301254,0.0821835427805069,0.028728472093710485,0.038461538461538464
AluminiumSiding,0.4755023523128038,0.5280530327661387,0.7898308884002749,0.6038252026953387,0.9286361675688839,1.0986122886681144,0.9607586427101262,0.9561474769901381,0.9955351590063858,0.9998590287176354,,,1.1978968655652944,1.0,1.0,1.0,3.0,-1.607850114171004,-0.06168301151315891,0.19789686556529412,0.0,0.0
AluminiumSuspensionAssembly,1.1268977495325276,1.201867774075298,0.7079755318672748,0.7015529080303639,2.142475525238708,2.347180829317888,0.9030430298440333,0.9093437360966836,0.792032145773023,0.7629110641513599,2.2690202270405173,4.483214366916057,1.2164893301478634,1.0000000000000002,1.0,1.0204005894902481,22.0,1.5593579578101497,1.9275733301416929,0.21648933014786348,0.06955559152005275,0.045454545454545456
Asphalt,0.2600988575656265,0.26500025515816206,0.4123525292425127,0.4518768062802839,4.5945344853625,4.623080975179613,0.9652229947878748,0.9678180434231227,0.9028121578587365,0.8963405675894759,5.9041100823531245,6.109877075826179,0.9955233612521002,1.0000000000000002,1.0069061854534085,1.009154565156715,7232.0,1.5393058855743464,1.6228284976725058,0.004927035618183227,0.044653013408665156,0.045492256637168146
BackingAndUnderlay,1.3734254035589537,1.4273083601253846,0.6817889769378337,0.8070070024387275,3.053410983274887,3.1711062139668496,0.9839805203242731,0.9543715662249908,0.6822747554989643,0.6497797011049407,5.1902112222033745,6.853265645063857,1.0583462967351864,0.9999999999999998,1.0143054644431793,1.037033785089428,45.0,2.272252795914303,2.585468631620784,0.11078299619851735,0.12003060443866136,0.11111111111111112
BituminousRoofing,0.8934721382063724,0.8825190221461414,1.068592562545425,0.949456086808417,3.4266787034784785,3.619754775050524,0.9780114202410796,0.9883179098031101,0.7336423377662074,0.7493861778079243,10.32890244783706,10.097923067558629,1.0341453745262283,1.0,1.0277749518532497,1.0222072619938776,66.0,2.69821941981011,2.661886929699789,0.07221369851198846,0.031248153863216457,0.06060606060606061
BlanketFacing,0.5768557783561169,0.6603474412261163,0.6506613889254824,0.8396829198125447,2.787679977141621,3.1836729714837984,0.8727234599054907,0.8724002405574519,0.8705184285634944,0.7943923596512326,6.540705755360844,5.0391654682247955,0.8191719518622501,1.0000000000000002,1.0237291386274983,1.0605764113186673,28.0,1.6934683294359287,1.9613562338564847,0.1822990286817721,0.021424536975713875,0.07142857142857142
BlanketInsulation [mineral wool],0.9740152227653087,1.0694917161371635,1.0354610780247622,1.1194103287100794,3.695649320187166,3.8474931328418984,0.9572999427082871,0.9309556255000982,0.5829353329793079,0.5669579032811601,16.650553141180357,11.268678312832616,0.8930728347439628,1.0000000000000002,1.0336027875020735,1.053545989607294,184.0,3.770015022130187,3.295714006834492,0.1079311911602625,0.08115158458739555,0.10326086956521738
BlanketInsulation [other],0.43813671478398486,0.7550040735013382,0.3606422675213682,0.6463858367455421,0.5433186552598724,1.0986122886681178,0.9290963667493711,0.9295911053734708,0.9965370912975703,0.9955275127701789,,,0.7806365322615879,1.0,1.0,1.0,3.0,-2.4080552993437827,0.3454290422676277,0.44738094835913633,0.009585263433586294,0.0
BlanketInsulation [type not stated],1.2674295840431564,1.1619392199774394,0.8327496407837682,0.7204840117763625,3.4322909730350313,3.678132961469878,0.951626762063243,0.9612540179928349,0.5589212807730928,0.6383083103717502,15.730479731456297,11.178548900762218,0.939488481211274,1.0,1.0150347282948564,1.0129837592178437,129.0,3.661356811908116,3.0340630384179064,0.10006708077398378,0.11037142245728164,0.12403100775193798
BlownInsulation [cellulose],1.1259280352269279,1.1332960113193202,0.8455397969629386,0.8065165138830613,0.7674754128622401,1.0986122886681202,0.9796649449918181,0.8678362403890658,0.9659464275170122,0.7774078101824612,,,1.043292339413536,0.9999999999999999,1.0,1.0,3.0,1.4032042256949868,1.7239399600127974,0.09293681618496408,0.3622193416706191,0.3333333333333333
