material,n_old,n_slice_incl_expired,n_new,delta,slice_covers_old,unit_type_new,unit_type_mix,n_unit_types,med_ratio
MBQ,44,77,40,-4,True,weight,weight:77,1,1.0474744496097408
ManufacturingInputs,4,21,13,9,True,weight,weight:16|vol:3,2,0.2129151291512915
Masonry,21,56,35,14,True,weight,weight:44|area:8|vol:2,3,1.0923257819062344
MasonryCement,39,44,28,-11,True,weight,weight:44,1,0.9555653710247349
MassTimber,45,138,66,21,True,vol,vol:131|weight:2|area:2,4,1.138976395138889
MechanicalInsulation,57,234,22,-35,True,area,area:198|weight:5|length:2,4,1.326454423592493
MembraneRoofing,55,291,168,113,True,area,area:223|weight:44|vol:2,4,1.5278628357894737
MetalDoorAndFrames,38,294,42,4,True,area,area:49|length:7|weight:1,3,1.0
MetalRailings,4,20,14,10,True,weight,weight:16|length:4,2,0.8117561518902597
MetalStairs,5,10,6,1,True,weight,weight:8|length:2,2,12.553740326741186
Mirrors,4,36,19,15,True,area,area:27|weight:6|vol:2,4,2.2893620689655174
MiscMetalFabrication,28,76,69,41,True,weight,weight:75,1,1.1674410710095908
Mortar,151,492,250,99,True,weight,weight:418|area:50|vol:9,3,1.3375624074074073
NetworkingCableTrays,17,54,22,5,True,length,length:43|weight:2|area:1,3,0.9518716577540105
NetworkingRaceways,26,87,32,6,True,length,length:65|weight:7|area:1,3,0.7301092043681744
NonStructuralWood,33,157,58,25,True,vol,vol:128|area:19|weight:4,4,1.2079956509022118
OilPatch,279,520,282,3,True,vol,vol:508|weight:10|area:1,3,1.0
OpenWebMembranes,8,25,18,10,True,weight,weight:25,1,1.0331615213596679
Openings,13,37,12,-1,True,length,length:15|area:7|vol:5,4,0.9940170940170938
OtherFlooring,154,463,217,63,True,area,area:366|weight:35|length:1,3,0.6541666666666667
PaintingAndCoating,19,77,19,0,True,area,area:22|length:8|weight:1,3,56.818212499999994
PlateSteel,76,127,74,-2,True,weight,weight:105|area:7|vol:4,4,1.0876426317067251
PostTensioningSteel,11,67,35,24,True,vol,vol:35|weight:28|area:1,4,169.42150561497326
PowerCabling,209,421,400,191,True,length,length:413|weight:3,2,0.6866659879267373
PrecastConcrete,159,978,546,387,True,weight,weight:672|vol:92|area:87,4,1.107936603785777
ProcessedNonInsulatingGlassPanes,114,430,130,16,True,area,area:340|weight:59|vol:6,4,0.8541643054014598
ReadyMix,77548,138988,86995,9447,True,vol,vol:138573|area:165|weight:138,4,0.9737014925373134
RebarSteel,196,513,208,12,True,weight,weight:488|vol:1|area:1,4,0.9793056904570716
ResilientFlooring,444,1260,476,32,True,area,area:1087|weight:29|length:7,4,1.1072368724888004
RoofCoverBoards,8,35,25,17,True,area,area:35,1,0.921677614957049
RoofPanels,89,204,61,-28,True,area,area:173|length:12|weight:8,4,0.6255506607929515
SheathingPanels,48,180,71,23,True,vol,vol:153|area:12|length:5,4,0.9776582278481013
Shotcrete,1682,3175,1670,-12,True,vol,vol:3154|weight:17,2,1.0048404612467012
Siding,4,29,1,-3,True,area,area:13|weight:1,2,4.74187380497132
SinglePlyEPDM,14,76,30,16,True,area,area:67|weight:5|vol:1,3,0.932190738177624
SinglePlyKEE,6,28,11,5,True,area,area:28,1,1.0833333333333333
SinglePlyOther,5,24,2,-3,True,area,area:22|length:2,2,2.076685393258427
SinglePlyPVC,84,269,80,-4,True,area,area:218|weight:18|length:2,3,1.025656873749288
SinglePlyPolyurethane,25,60,27,2,True,area,area:44|weight:14,2,0.4722502522704339
SinglePlyTPO,30,129,62,32,True,area,area:128,1,1.1648199445983378
SprayedInsulation,12,34,13,1,True,area,area:24|vol:5,2,1.3598130841121496
Steel,443,986,576,133,True,weight,weight:739|area:118|length:18,4,1.05357216146789
SteelSuspensionAssembly,87,230,114,27,True,weight,weight:147|length:60|area:11,3,0.9945150650409517
StoneCladding,29,47,19,-10,True,area,area:40|weight:3,2,1.2580645161290323
StorageFurniture,11,269,17,6,True,weight,weight:25|area:14|length:6,4,1.3133316528559318
StructuralSteel,57,145,105,48,True,weight,weight:132|vol:3|area:2,3,0.8829941860465116
SupplementaryCementitiousMaterials,8,42,28,20,True,weight,weight:40|vol:2,2,0.5480391612225153
