rule,metric,n_datasets,frac_values_removed,median,sd,shift_in_sd_units
none,n,136,0.0,54.0,7478.002577607745,0.0
none,coeffvar,136,0.0,0.9764470400530437,7.475701432234799,0.0
none,entropy,136,0.0,2.5881293094606725,1.1777730590049431,0.0
none,skewness,136,0.0,2.4403934897424637,19.964254457070634,0.0
none,kurtosis,136,0.0,7.647788909363838,3336.682531210156,0.0
none,modality_index,136,0.0,1.008615922923466,0.024031910502154148,0.0
none,weight_outliers,136,0.0,0.05545747308799761,0.05965844147216274,0.0
none,fit_norm_SW,136,0.0,0.6963360482484944,0.29749856987619616,0.0
none,fit_lognorm_SW,136,0.0,0.9062442050641872,0.1406682495234104,0.0
none,w_v_uw_wasserstein,136,0.0,0.14384819680735822,0.18936506969210765,0.0
additive_3iqr_2026-03_rule,n,136,0.008480212836714296,52.0,7467.32344460595,0.0010019583412901776
additive_3iqr_2026-03_rule,coeffvar,136,0.008480212836714296,0.6318630940008402,0.3389991240347699,0.2728854511063096
additive_3iqr_2026-03_rule,entropy,136,0.008480212836714296,3.2166407308796634,1.0485809693121206,0.6847057387760469
additive_3iqr_2026-03_rule,skewness,136,0.008480212836714296,1.0464844333321128,0.9519537363675323,0.3345526426914232
additive_3iqr_2026-03_rule,kurtosis,136,0.008480212836714296,1.256307805311461,2.8158397485592515,0.1534425119515039
additive_3iqr_2026-03_rule,modality_index,136,0.008480212836714296,1.000061639444086,0.02013970037439544,0.6876677041407598
additive_3iqr_2026-03_rule,weight_outliers,136,0.008480212836714296,0.033760270758825414,0.06268094468228584,0.7574258183063826
additive_3iqr_2026-03_rule,fit_norm_SW,136,0.008480212836714296,0.8910698288419506,0.09468745152008544,0.8580586660990257
additive_3iqr_2026-03_rule,fit_lognorm_SW,136,0.008480212836714296,0.9157128385077192,0.12906253129633116,0.5182268328257218
additive_3iqr_2026-03_rule,w_v_uw_wasserstein,136,0.008480212836714296,0.08029626414877494,0.10014506713332495,0.7385861441075731
additive_high_only_3iqr,n,136,0.00838875956102425,52.0,7467.3147233317795,0.0009911423042399403
additive_high_only_3iqr,coeffvar,136,0.00838875956102425,0.620803282138687,0.32098043632877754,0.2728915096358747
additive_high_only_3iqr,entropy,136,0.00838875956102425,3.252043405824626,1.0286751971254589,0.6850673634127638
additive_high_only_3iqr,skewness,136,0.00838875956102425,1.027553871663494,1.0134140301179817,0.33510388574420813
additive_high_only_3iqr,kurtosis,136,0.00838875956102425,1.138876564231528,2.6272354791116155,0.15228230467444828
additive_high_only_3iqr,modality_index,136,0.00838875956102425,1.0000056130268882,0.03628303235120833,0.869264213749968
additive_high_only_3iqr,weight_outliers,136,0.00838875956102425,0.03202434612690641,0.06815620613524634,0.7653413792810297
additive_high_only_3iqr,fit_norm_SW,136,0.00838875956102425,0.8895689098170231,0.09430911342452082,0.8696002047192075
additive_high_only_3iqr,fit_lognorm_SW,136,0.00838875956102425,0.9120367143679573,0.13290186873323667,0.4586005297402632
additive_high_only_3iqr,w_v_uw_wasserstein,136,0.00838875956102425,0.08239276406946461,0.12129365649865785,0.7057220161444809
log_3iqr_low_only_stage2a,n,136,0.004522780179580965,53.5,7461.3067509779785,0.0005349021959390154
log_3iqr_low_only_stage2a,coeffvar,136,0.004522780179580965,0.9942571795159281,4.067020586300678,0.10175713869067436
log_3iqr_low_only_stage2a,entropy,136,0.004522780179580965,2.5867224434901024,1.1966275625379423,0.09344200655754681
log_3iqr_low_only_stage2a,skewness,136,0.004522780179580965,2.554705712287433,14.96093911510265,0.15539943301281434
log_3iqr_low_only_stage2a,kurtosis,136,0.004522780179580965,9.41216943226731,2187.176481500567,0.08003342434725685
log_3iqr_low_only_stage2a,modality_index,136,0.004522780179580965,1.0127952436605705,0.023414909133831582,0.578539513721461
log_3iqr_low_only_stage2a,weight_outliers,136,0.004522780179580965,0.05601691348975786,0.06299385811746812,0.6668791945328613
log_3iqr_low_only_stage2a,fit_norm_SW,136,0.004522780179580965,0.6942447473259055,0.28796908391279036,0.20513024285270506
log_3iqr_low_only_stage2a,fit_lognorm_SW,136,0.004522780179580965,0.9202214814613378,0.12463694174086558,0.5955088171840749
log_3iqr_low_only_stage2a,w_v_uw_wasserstein,136,0.004522780179580965,0.14786942314986481,0.21029653657364603,0.5855166689138924
log_3iqr_symmetric,n,136,0.006784170269371503,53.0,7457.3846246252415,0.0008023532939085231
log_3iqr_symmetric,coeffvar,136,0.006784170269371503,0.755311689299316,1.6019806671862644,0.22730968195030682
log_3iqr_symmetric,entropy,136,0.006784170269371503,2.930351458867467,1.0106428065606465,0.4520038335652786
log_3iqr_symmetric,skewness,136,0.006784170269371503,1.7441592770877228,7.002976017466496,0.2627858902048448
log_3iqr_symmetric,kurtosis,136,0.006784170269371503,4.920685483186622,416.1282342792557,0.13859993606782084
log_3iqr_symmetric,modality_index,136,0.006784170269371503,1.0087095164548203,0.021581451560892882,0.6086565110373011
log_3iqr_symmetric,weight_outliers,136,0.006784170269371503,0.04660350463329936,0.058185128422770516,0.622073763720589
log_3iqr_symmetric,fit_norm_SW,136,0.006784170269371503,0.7914106904912975,0.21353695348158766,0.524636378461901
log_3iqr_symmetric,fit_lognorm_SW,136,0.006784170269371503,0.9317442575520704,0.09492417389894171,0.7019319594326886
log_3iqr_symmetric,w_v_uw_wasserstein,136,0.006784170269371503,0.1053216441424773,0.1417319722734117,0.6179691305462723
log_1.5iqr_symmetric,n,136,0.026238776188892587,51.5,7331.635926991915,0.0031032193573226705
log_1.5iqr_symmetric,coeffvar,136,0.026238776188892587,0.6721486565812875,0.716469877340534,0.26089758841728666
log_1.5iqr_symmetric,entropy,136,0.026238776188892587,3.0418460610586413,1.0708534586331993,0.6168701019518938
log_1.5iqr_symmetric,skewness,136,0.026238776188892587,1.4554567896195663,1.7931423542698086,0.31229147881123953
log_1.5iqr_symmetric,kurtosis,136,0.026238776188892587,2.2890388625905818,20.37068333787899,0.15248962402486144
log_1.5iqr_symmetric,modality_index,136,0.026238776188892587,1.005665458238021,0.023322018720300212,0.7029222016021933
log_1.5iqr_symmetric,weight_outliers,136,0.026238776188892587,0.0342492034713103,0.06059927233941319,0.7227858421831241
log_1.5iqr_symmetric,fit_norm_SW,136,0.026238776188892587,0.8440196766172818,0.15409032163633452,0.7132581876846235
log_1.5iqr_symmetric,fit_lognorm_SW,136,0.026238776188892587,0.9517083616143883,0.0637384423321933,0.7739923091155593
log_1.5iqr_symmetric,w_v_uw_wasserstein,136,0.026238776188892587,0.0887272612066273,0.1080451114237324,0.6914585120597724
