empirical_arm,corpus,weighted_objective,mean_w1_unweighted,mode_tv,unimodal_synthetic,unimodal_empirical,worst_metric,worst_w1
old arm,2026-09-12b,0.32043225063133685,0.35369970630785513,0.03756568669223119,0.8682360460161909,0.8333333333333334,kurtosis,0.6692941145873953
old arm,2026-09-12c,0.48829984156636147,0.5793299078303207,0.3334398522937083,0.49989348103962505,0.8333333333333334,kurtosis,1.389737460417429
new arm,2026-09-12b,0.49977528756405293,0.4948855845842174,0.37580202511341126,0.8682360460161909,0.49264705882352944,fit_lognorm_SW,0.8647032921736354
new arm,2026-09-12c,0.45892921501204276,0.5618433733842986,0.09912529136068572,0.49989348103962505,0.49264705882352944,fit_lognorm_SW,1.9208319292605394
