id,name,display_name,masterformat,declared_unit,mass_per_declared_unit,description,parent_id,parent_name,depth,path,n_epds_direct,is_leaf
fac0fe7a97774bd99b173c6f92394ef7,Openings,Openings,08 00 00 Openings,1 m2,33.2865994 kg,"General category that includes windows, storefronts, window walls, curtain walls, doors, entrances, etc.",cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/Openings,-1,False
3aa3a34fae9a400fa297339ba88e1fab,Glazing,Glazing,08 80 00 Glazing,1 m2,38.70668675 kg,"Broad category of glass-based products, accessories, and assemblies ranging from glass panes and framing to curtain walls.",fac0fe7a97774bd99b173c6f92394ef7,Openings,2,ConstructionMaterials/Openings/Glazing,-1,False
28fadfb499484f5bb8f86ed4aa34be9a,FenestrationParts,Fenestration Parts,08 80 00 Glazing,1 m2,,"Parts and assemblies for integration into building fenestration such as windows, curtain walls, and storefronts.",3aa3a34fae9a400fa297339ba88e1fab,Glazing,3,ConstructionMaterials/Openings/Glazing/FenestrationParts,-1,False
2d40b2387b6845d3866c83bdc20f8f05,FenestrationAccessories,Fenestration Accessories,08 85 00 Glazing Accessories,1 m2,,"Gaskets, seals, fasteners, and other low-mass items which may be useful in calculating the impact of a fenestration system.",28fadfb499484f5bb8f86ed4aa34be9a,FenestrationParts,4,ConstructionMaterials/Openings/Glazing/FenestrationParts/FenestrationAccessories,66,True
09a7964b7e4f4c9b99890436b28af9c1,GlassPanes,Glass Panes,08 80 00 Glazing,1 m2,,Flat glass panes,3aa3a34fae9a400fa297339ba88e1fab,Glazing,3,ConstructionMaterials/Openings/Glazing/GlassPanes,-1,False
ca0d30f6f7e04106afbf0124f0ae35f3,FlatGlassPanes,Flat Glass Panes,08 81 00 Glass Glazing,1 kg,1 kg,"Monolithic, uncoated flat glass panes that are not substantially processed.",09a7964b7e4f4c9b99890436b28af9c1,GlassPanes,4,ConstructionMaterials/Openings/Glazing/GlassPanes/FlatGlassPanes,246,True
6daae3d967104f5c8c85199b259f58c8,ProcessedNonInsulatingGlassPanes,Processed Non-insulating Glass Panes,08 81 00 Glass Glazing,1 m2,15 kg,"Solid glass panes without internal gaps which have been heat-treated or otherwise substantially processed. Includes:
1. Coatings including low-e and other coatings (see PCR)
2. laminating (fire-rated, glass clad polycarbonate, interlayers
3. Heat treated (heat strengthened, tempered, fire-rated)
4. Mechanically or chemically processed or fabricated (edging, bending, etching, drilling, notching, cutting, polishing, etc)
5. combined products of processing in 1-5.",09a7964b7e4f4c9b99890436b28af9c1,GlassPanes,4,ConstructionMaterials/Openings/Glazing/GlassPanes/ProcessedNonInsulatingGlassPanes,-1,True
ade3ad3405124279955e7d3085f59383,InsulatingGlazingUnits,Insulating Glazing Units,08 81 23 Exterior Glass Glazing,1 m2,31.36 kg,"A factory-made unit of two or more panes of glass separated by a sealed insulating gap. IGUs often incorporate coated, laminated, or heat treated glass along with with airspace, gas fill, seals, and spacers.",3aa3a34fae9a400fa297339ba88e1fab,Glazing,3,ConstructionMaterials/Openings/Glazing/InsulatingGlazingUnits,-1,True
e4fba377eec44294ab67fbbdf1d7d7e7,Placeholders,Placeholders,00 00 00 No Masterformat Code,1 kg,,"A category to stand in for materials that are not currently handled in EC3, but where we want to be able to bind an element and retain its dimensions. Impacts for placeholders are always considered to be zero.",cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/Placeholders,-1,False
7640566ef71245418c1bb4a8f99e2a7f,Airspace,Airspace,00 00 00 No Masterformat Code,1 m3,1.225 kg,Represents air-filled gaps in designs,e4fba377eec44294ab67fbbdf1d7d7e7,Placeholders,2,ConstructionMaterials/Placeholders/Airspace,-1,True
9fb5c916c0f147f29a77ff2a13015758,AreaPlaceholder,Area Placeholder,00 00 00 No Masterformat Code,1 m2,,An undefined material with a declared unit of area and an assumed impact of zero.,e4fba377eec44294ab67fbbdf1d7d7e7,Placeholders,2,ConstructionMaterials/Placeholders/AreaPlaceholder,-1,True
1fd14dd3207147c98c365c0c3549b01d,LengthPlaceholder,Length Placeholder,00 00 00 No Masterformat Code,1 m,,An undefined material with a declared unit of length and an assumed impact of zero.,e4fba377eec44294ab67fbbdf1d7d7e7,Placeholders,2,ConstructionMaterials/Placeholders/LengthPlaceholder,0,True
e9fb7a16bf254f77b7cbc4c8818cb71e,MassPlaceholder,Mass Placeholder,00 00 00 No Masterformat Code,1 kg,,An undefined material with a declared unit of mass and an assumed impact of zero.,e4fba377eec44294ab67fbbdf1d7d7e7,Placeholders,2,ConstructionMaterials/Placeholders/MassPlaceholder,-1,True
dfbf31cad8bb432890053b51a48c99ba,Negligible,Negligible,00 00 00 No Masterformat Code,1 kg,,This material's impact is small enough to be ignored.,e4fba377eec44294ab67fbbdf1d7d7e7,Placeholders,2,ConstructionMaterials/Placeholders/Negligible,-1,True
87d1f476534348439d062ca217b64827,ReusedComponent,Reused Component,00 00 00 No Masterformat Code,1 kg,,This component was reused from a previous structure. Its net impact is treated as zero (i.e. fully amortized in its previous use).,e4fba377eec44294ab67fbbdf1d7d7e7,Placeholders,2,ConstructionMaterials/Placeholders/ReusedComponent,-1,True
7d107f8642f045a1ba1d83fecaf4663d,VolumePlaceholder,Volume Placeholder,00 00 00 No Masterformat Code,1 m3,,An undefined material with a declared unit of volume and an assumed impact of zero.,e4fba377eec44294ab67fbbdf1d7d7e7,Placeholders,2,ConstructionMaterials/Placeholders/VolumePlaceholder,-1,True
3d6ccdcd4a83401e96ae385d568dc339,PrecastConcrete,Precast Concrete,03 40 00 Precast Concrete,1 t,1000 kg,General category for precast concrete components,cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/PrecastConcrete,976,False
14453b4c250b4c5eb0e6b223cf5174c1,ArchitecturalPrecast,Precast Architectural Concrete,03 45 00 Precast Architectural Concrete,1 t,1000 kg,Precast concrete cladding used for architectural purposes,3d6ccdcd4a83401e96ae385d568dc339,PrecastConcrete,2,ConstructionMaterials/PrecastConcrete/ArchitecturalPrecast,88,True
f535ba9603d8452f8af258f91200ae9a,CivilPrecast,Civil Precast Concrete,03 48 00 Precast Concrete Specialties,1 t,1000 kg,"Precast concrete used for civil engineering applications including bridges, highways, and railroads.",3d6ccdcd4a83401e96ae385d568dc339,PrecastConcrete,2,ConstructionMaterials/PrecastConcrete/CivilPrecast,276,True
19ea8ae36e314a3095e82c340f68eb46,StructuralPrecast,Structural Precast Concrete,03 41 00 Precast Structural Concrete,1 t,1000 kg,Precast concrete used for structural purposes,3d6ccdcd4a83401e96ae385d568dc339,PrecastConcrete,2,ConstructionMaterials/PrecastConcrete/StructuralPrecast,634,True
4107bf633aa54d1f867ddc409cca1b30,UtilityUndergroundPrecast,Utility & Underground Precast Concrete,33 00 00 Site Utilities,1 t,1000 kg,"Precast concrete for utility vaults, manhole, drain inlets. Excludes piping.",3d6ccdcd4a83401e96ae385d568dc339,PrecastConcrete,2,ConstructionMaterials/PrecastConcrete/UtilityUndergroundPrecast,140,True
2ba88414ca7344f6bf4140ca1bd536de,Sheathing,Sheathing,06 16 00 Sheathing,1 m2,10.79273109 kg,"Boards or panels used in floor, wall and roof assemblies as a surface onto which other materials can be applied.",cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/Sheathing,-1,False
c56db9d02dfe4fb2bb8cf0eb5f35a446,CementitiousSheathingBoard,Cementitious Sheathing Board,06 16 63 Cementitious Sheathing,1 m2,11.65 kg,"Cementitious non-gypsum board used for sheathing exteriors, shaft walls, and interior walls/ceilings requiring moisture resistance.",2ba88414ca7344f6bf4140ca1bd536de,Sheathing,2,ConstructionMaterials/Sheathing/CementitiousSheathingBoard,-1,True
4063336edfe749b480a9f932d4109fe6,GypsumSheathingBoard,Gypsum Sheathing Board,06 16 43 Gypsum Sheathing,1 m2,10.61928011 kg,"Gypsum board used for sheathing exteriors, shaft walls, and interior walls/ceilings requiring moisture resistance.",2ba88414ca7344f6bf4140ca1bd536de,Sheathing,2,ConstructionMaterials/Sheathing/GypsumSheathingBoard,55,True
db641aa0dbc34d6096547da02bf73f3a,Steel,Steel,05 00 00 Metals,1 t,1000 kg,Broad category for construction materials made from steel and its alloys,cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/Steel,986,False
1a894216acf240e3977de4a5c28db7cc,CoilSteel,Coil Steel,05 00 00 Metals,1 t,1000 kg,"Sheet or strip steel, sold in rolls. Typically, coil steel is cold-formed into light gauge products.",db641aa0dbc34d6096547da02bf73f3a,Steel,2,ConstructionMaterials/Steel/CoilSteel,228,True
df6ecf896ab5433b8d180099b3c43940,ColdFormedSteel,Cold Formed Steel Products,05 00 00 METALS,1 t,1000 kg,"All types of cold formed steel products. These products are made from hot-rolled steel coils and sheets and
are cold formed into products such as studs, decking, panels, and other accessories.",db641aa0dbc34d6096547da02bf73f3a,Steel,2,ConstructionMaterials/Steel/ColdFormedSteel,130,False
5102ecc070414ff0a4b7c104ddecef45,ColdFormedFraming,Cold Formed Framing,05 40 00 COLD-FORMED METAL FRAMING,1 t,1000 kg,"Cold formed steel elements such as studs and framing, typically made from coil or sheet steel
and used within walls and ceilings.",df6ecf896ab5433b8d180099b3c43940,ColdFormedSteel,3,ConstructionMaterials/Steel/ColdFormedSteel/ColdFormedFraming,98,True
05d49f750eed4648b7f72e3bbfc8b8e4,DeckingSteel,Composite and Form Decks,05 31 00 Steel Decking,1 t,1000 kg,Corrugated Decking made from cold-formed sheet steel. Often filled with concrete.,df6ecf896ab5433b8d180099b3c43940,ColdFormedSteel,3,ConstructionMaterials/Steel/ColdFormedSteel/DeckingSteel,116,True
403a3d004f25416eac881a89f40e90a8,SteelSuspensionAssembly,Steel Suspension Assemblies,09 53 00 Suspension Assemblies,1 t,1000 kg,Steel suspension assemblies for suspended (e.g. acoustical) ceiling systems,df6ecf896ab5433b8d180099b3c43940,ColdFormedSteel,3,ConstructionMaterials/Steel/ColdFormedSteel/SteelSuspensionAssembly,230,True
45b76cb5048447bead88a38fddc3e365,MBQSteel,Merchant Bar (MBQ),00 00 00 No Masterformat Code,1 t,1000 kg,"Merchant Bar Quality (MBQ) steel is used as feedstock to steel construction products, but also includes rounds, angles, and light structural shapes.",db641aa0dbc34d6096547da02bf73f3a,Steel,2,ConstructionMaterials/Steel/MBQSteel,77,True
db705527616d4e62afaf56cf27c57bc3,PrefabricatedSteelAssemblies,Prefabricated Steel Assemblies,05 00 00 Metals,1 t,1000 kg,Prefabricated assemblies made primarily of steel.,db641aa0dbc34d6096547da02bf73f3a,Steel,2,ConstructionMaterials/Steel/PrefabricatedSteelAssemblies,15,False
c10083005b9842e4b3d1649f90d82b54,OpenWebMembranes,Open Web Steel Joists,05 21 19 Open Web Steel Joist Framing,1 t,1000 kg,"Lightweight steel truss, typically made of parallel chords and a triangulated web system, proportioned to span between bearing points",db705527616d4e62afaf56cf27c57bc3,PrefabricatedSteelAssemblies,3,ConstructionMaterials/Steel/PrefabricatedSteelAssemblies/OpenWebMembranes,25,True
4e82b07fff2e40aeb1b72b695e9ac279,RebarSteel,Reinforcing Bar,03 21 00 Reinforcement Bars,1 t,1000 kg,Reinforcing bar used together with concrete.,db641aa0dbc34d6096547da02bf73f3a,Steel,2,ConstructionMaterials/Steel/RebarSteel,513,True
820e86326d2945fb9322246fd4690fc8,StructuralSteel,Structural Steel,05 12 00 Structural Steel Framing,1 t,1000 kg,"Hot rolled steel shapes, Hollow Sections, pipes, and similar hot-worked structural steels",db641aa0dbc34d6096547da02bf73f3a,Steel,2,ConstructionMaterials/Steel/StructuralSteel,145,False
e96e409053534524b18ca57b992bb328,HollowSections,Hollow Sections,05 12 00 Structural Steel Framing,1 t,1000 kg,"Hollow cross section steel shape, typically referred to as hollow structural section (HSS)",820e86326d2945fb9322246fd4690fc8,StructuralSteel,3,ConstructionMaterials/Steel/StructuralSteel/HollowSections,208,True
de95ab7d6ab5488bb87d20177f942d2a,HotRolledSections,Hot-Rolled Sections,05 12 00 Structural Steel Framing,1 t,1000 kg,"Steel shapes, such as angles, wide flange beams and I-beams, produced using a high temperature mill process.",820e86326d2945fb9322246fd4690fc8,StructuralSteel,3,ConstructionMaterials/Steel/StructuralSteel/HotRolledSections,184,True
3c2208e79d954872af198013ae046a26,PlateSteel,Plate Steel,05 12 00 STRUCTURAL STEEL FRAMING,1 t,1000 kg,"Flat hot-rolled steel, typically thicker than 'sheet', made by compressing multiple steel layers together into one",820e86326d2945fb9322246fd4690fc8,StructuralSteel,3,ConstructionMaterials/Steel/StructuralSteel/PlateSteel,127,True
139d996de52d4999a269aabecb2d4912,WireMeshSteel,Reinforcing Wire and Mesh,03 22 00 Fabric and Grid Reinforcing,1 t,1000 kg,"Mild steel wire for reinforcement, connections, and meshes",db641aa0dbc34d6096547da02bf73f3a,Steel,2,ConstructionMaterials/Steel/WireMeshSteel,88,True
34f64d921a3745c69f8ea7c6c0ec318c,ThermalMoistureProtection,Thermal/Moisture Prot.,07 00 00 Thermal and Moisture,1 m2,1.460465116 kg,"Broad category of materials whose function is to provide moisture and thermal protection between spaces (e.g., between the exterior and interior of a building)",cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/ThermalMoistureProtection,6,False
bf1c8882d7784db4b10d9d5698b8b5cc,Insulation,Insulation,07 21 00 Thermal Insulation,1 m2,1.27 kg,Thermal insulation materials for use in construction,34f64d921a3745c69f8ea7c6c0ec318c,ThermalMoistureProtection,2,ConstructionMaterials/ThermalMoistureProtection/Insulation,-1,False
53a5d5bee64545f1bdd60e102a4a6ddf,BlanketInsulation,Blanket,07 21 16 Blanket Insulation,1 m2,1.23 kg,"Non-rigid insulation batts, blankets, and rolls",bf1c8882d7784db4b10d9d5698b8b5cc,Insulation,3,ConstructionMaterials/ThermalMoistureProtection/Insulation/BlanketInsulation,-1,True
6fd418c8ff92415c833e6327638d8482,BlownInsulation,Blown,07 21 26 Blown Insulation,1 m2,0.653 kg,Loose-fill insulation for blow-in or closed cavity applications,bf1c8882d7784db4b10d9d5698b8b5cc,Insulation,3,ConstructionMaterials/ThermalMoistureProtection/Insulation/BlownInsulation,-1,True
56f3c898f94b459eb18feadeb792ab88,BoardInsulation,Board,07 21 13 Board Insulation,1 m2,1.897674419 kg,"Rigid insulation products including rigid foams, wood fiberboard insulation, and rigid mineral wool boards",bf1c8882d7784db4b10d9d5698b8b5cc,Insulation,3,ConstructionMaterials/ThermalMoistureProtection/Insulation/BoardInsulation,-1,True
712c2265bfe248e5aa58ad17bb3c92ea,FoamedInPlace,Foamed-In-Place,07 21 19 Foamed-In-Place Insulation,1 m2,0.65 kg,Open and closed cell spray foam insulation,bf1c8882d7784db4b10d9d5698b8b5cc,Insulation,3,ConstructionMaterials/ThermalMoistureProtection/Insulation/FoamedInPlace,-1,True
d4f59a8702314e84b683dde20c2a8a47,MembraneRoofing,Membrane Roofing,07 50 00 Membrane Roofing,1 m2,1.73 kg,"Built-up bituminous, modified bituminous, elastomeric, thermoplastic, fluid-applied, and hot-applied rubberized asphalt membrane roofing  ",34f64d921a3745c69f8ea7c6c0ec318c,ThermalMoistureProtection,2,ConstructionMaterials/ThermalMoistureProtection/MembraneRoofing,291,False
a9fd6c7eca5a4d5382ece6423f0326ec,BituminousRoofing,Bituminous Roofing,07 50 00 Membrane Roofing,1 m2,5.32 kg,"Premanufactured membrane roofing sheets consisting of asphalt, reinforcing layers, and in some cases a surfacing.",d4f59a8702314e84b683dde20c2a8a47,MembraneRoofing,3,ConstructionMaterials/ThermalMoistureProtection/MembraneRoofing/BituminousRoofing,-1,True
34d34329c1964de4a9b67437ef00c4ea,SinglePlyKEE,Single-Ply KEE,07 50 00 Membrane Roofing,1 m2,1.5 kg,"Ketone Ethylene Ester (KEE) roof membranes consist of PVC resin and KEE plasticizer, with KEE exceeding 50% of the polymer content by weight.",d4f59a8702314e84b683dde20c2a8a47,MembraneRoofing,3,ConstructionMaterials/ThermalMoistureProtection/MembraneRoofing/SinglePlyKEE,-1,True
eea8edb2c0f84d77abfab5a6241cbae1,SinglePlyPVC,Single-Ply PVC,07 50 00 Membrane Roofing,1 m2,1.965 kg,Polyvinyl chloride (PVC) thermoplastic membrane.,d4f59a8702314e84b683dde20c2a8a47,MembraneRoofing,3,ConstructionMaterials/ThermalMoistureProtection/MembraneRoofing/SinglePlyPVC,-1,True
fd14efc8874c4a55ac30d84a5612feb1,Wood,Wood,06 10 00 Rough Carpentry,1 m3,520 kg,Structural Wood Products used in construction,cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/Wood,111,False
9717c6b40208445fbea4c7c5fbfb9557,CompositeLumber,Composite Lumber,06 17 00 Shop-Fabricated Structural Wood,1 m3,566.25 kg,"Shop-fabricated structural Lumber including Laminated Strand Lumber (LSL), Parallel Strand Lumber (PSL), and Laminated Veneer Lumber (LVL)",fd14efc8874c4a55ac30d84a5612feb1,Wood,2,ConstructionMaterials/Wood/CompositeLumber,45,True
bdc042c5cca3498bbf6bf039d8a97261,DimensionLumber,Dimension Lumber,06 11 00 Wood Framing,1 m3,515 kg,"Dimension lumber for framing, decking, and other purposes.",fd14efc8874c4a55ac30d84a5612feb1,Wood,2,ConstructionMaterials/Wood/DimensionLumber,33,False
ce2498926db44d0d9177c7bfdf3520c0,WoodFraming,Wood Framing,06 11 00 Wood Framing,1 m3,450 kg,"Dimension lumber for light framing. Includes solid and finger-jointed lumber. Standard shapes include 2x4, 2x6, and 2x8.",bdc042c5cca3498bbf6bf039d8a97261,DimensionLumber,3,ConstructionMaterials/Wood/DimensionLumber/WoodFraming,26,True
ef49fef3f7c240e18d6f32dfd9583bfc,MassTimber,Mass Timber,06 18 00 Glued-Laminated Construction,1 m3,511 kg,"Engineered heavy timber products including glue laminated (glulam), cross-laminated timber (CLT), dowel laminated timber (DLT), and nail laminated timber (NLT)",fd14efc8874c4a55ac30d84a5612feb1,Wood,2,ConstructionMaterials/Wood/MassTimber,-1,True
d113c0063bcf41f0af23277b8b6362f0,NonStructuralWood,Non-Structural Wood,06 20 00 Finish Carpentry,1 m3,637.5 kg,"Non-structural interior and exterior wood products for trim, cabinets, countertops, etc.",fd14efc8874c4a55ac30d84a5612feb1,Wood,2,ConstructionMaterials/Wood/NonStructuralWood,-1,True
6495a039f98f42bdbec921121d48dbc4,PrefabricatedWood,Prefabricated Wood Products,06 10 00 Rough Carpentry,1 m3,220.2537313 kg,"Prefabricated wood structural members made primarily from one or more types of wood. Includes products made with metallic connectors, insulation, etc. Excludes products where the wood is merely decorative.",fd14efc8874c4a55ac30d84a5612feb1,Wood,2,ConstructionMaterials/Wood/PrefabricatedWood,-1,True
e4aa9c1808ad41b6944db88e51d877ba,SheathingPanels,Plywood and OSB Sheathing Panels,06 16 00 Sheathing,1 m3,525.75 kg,"Wood sheets used for structural sheathing, including plywood and Oriented Strand Board",fd14efc8874c4a55ac30d84a5612feb1,Wood,2,ConstructionMaterials/Wood/SheathingPanels,-1,True
470b6ba66fda46f3b85a33bfc4fef4b1,WoodJoists,Wood I-Joists,06 17 33 Wood I-Joists,1 m,3.72 kg,Prefabricated I-shaped engineered wood structural members made primarily from one or more types of wood. Includes products made with metallic webbing. Excludes products where the wood is merely decorative.,cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/WoodJoists,-1,True
